Wort; Durchschnittlicher Wert
ordnung; 0.19450333383429097
einrichtung; 0.17894949675246608
dauerschläfer; 0.17774494419427356
rückenpölstern; 0.17635746985433798
eiche; 0.17459893740306143
misst; 0.16693104543810477
füßen; 0.16516646076252073
füßenstilvoll; 0.16456524390378036
möbelstücke; 0.16450357680150773
nosagunterfederung; 0.16442710282717599
jedes; 0.15719528016597906
geradliniges; 0.1533901207440067
platzangebot; 0.15272252361137362
romantisches; 0.15055487328208983
hellbraunem; 0.15016985672082228
unterstreichen; 0.1496878826073953
angekündigt; 0.1490184274771309
verräumen; 0.14836070980527438
weiter; 0.14810315563772747
wiederum; 0.14806253269671288
ablagefächern; 0.14799708426289726
boxspringsofa; 0.14773303836773266
edlem; 0.1471008664539113
augen; 0.14553666266147047
samtbezug; 0.14249253365778713
aufgebaut; 0.1395997047002311
verziert; 0.1384241491832654
elegante; 0.13790644008258823
türkisem; 0.13771374312636908
formschönen; 0.1375321538071148
holen; 0.1373237500229152
schickem; 0.13706939878466073
kgzustellungdie; 0.1359195246004674
hervorragend; 0.1357257712734281
matratzenhöhe; 0.13511875685071573
wohin; 0.13449816505453782
sowie; 0.13258261995360954
erzeigt; 0.13256607671792153
rollroste; 0.13217590732165263
wangenform; 0.13168571672758844
puren; 0.13111160507105524
beige; 0.13096148458498647
gehören; 0.13088362688358757
anstrengenden; 0.1306655382632016
farblich; 0.130360017377825
möchte; 0.12997185376843845
dunkles; 0.1297312115711975
umfunktionieren; 0.12932470194846246
ende; 0.12920848529029172
liegeerlebnis; 0.12880330337793566
