Wort; Durchschnittlicher Wert
kilogramm; 0.1928515995532507
prakitscherweise; 0.18569689249852672
angenehmem; 0.18146793613323098
eindrucksvolles; 0.18143777040677378
pölstern; 0.18102318568162445
buchenholz; 0.17777920835760597
kind; 0.174190465857464
rosa; 0.16917818886213354
kghinweisdieser; 0.16530291952949483
verloren; 0.16517506491800305
vintage; 0.1636516348371515
reich; 0.16361707118630875
xl; 0.16286131368542556
harmonisches; 0.16207936273349333
zugabe; 0.16103491115609359
wand; 0.16003641529459856
matto; 0.15972811384563101
lagos; 0.15329509731236612
raumsparende; 0.15077988017947064
liegefunktion; 0.15074332638687338
regi; 0.15042618326697266
hinweis; 0.14984403312064387
wandgestaltung; 0.14890581472354825
you; 0.14886585617750825
zubettgehen; 0.14615461989160394
frische; 0.1448956847179943
mid; 0.144869327032211
querschläfer; 0.1445039643040218
dunkelgraues; 0.14385009745819843
dunkelblau; 0.14180945428961422
richtig; 0.14056343425318119
bezogenem; 0.13924908905210032
informationenpaketgröße; 0.13887601527585502
kindes; 0.13795783263958583
freude; 0.1374519734572459
toller; 0.1363850516427192
lino; 0.13635768854510388
dunklem; 0.13558414781610395
bonellfederkernmatraze; 0.13532770369783975
süße; 0.13424240844142332
besten; 0.13413440623776296
juist; 0.13381747166749847
paketspezifische; 0.13365422643255442
herausziehen; 0.13347716798125475
edel; 0.13299407085287385
holzrahmen; 0.1329887370702636
lieferumfanges; 0.13270996562278015
velours; 0.1324151445296593
braune; 0.13149549048466724
märchen; 0.130912971260841
