Wort; Durchschnittlicher Wert
aufputz; 0.031208990565573913
erstrahlt; 0.02926504008792108
gehüllt; 0.02284549891919596
dienen; 0.022600433185289148
sitzgruppe; 0.02249590561768855
entdeckenhinweisstoff; 0.022397217113393708
blassrote; 0.02152394821678172
gitterbett; 0.02073901193216443
clio; 0.020312679116614163
senfgelb; 0.019958130505983718
einrichtungsserie; 0.019635497170384042
blicke; 0.018112990505869675
bündnis; 0.018079398584632145
geschnittenen; 0.018053074927593116
kleinere; 0.017895472119562328
familiensofa; 0.017853819597803522
arm; 0.017690292952465825
graue; 0.017689621265162714
aufeinander; 0.017607064291951247
schlafzimmermöbel; 0.01752692820991797
fungieren; 0.01751683711336227
grüne; 0.017425129235277836
diwan; 0.016918654959226842
jugendzimmern; 0.01681483773063519
rahmens; 0.016814351968037045
nächte; 0.016705172749198027
neo; 0.0166567523519916
max; 0.016599297438006033
regalfächern; 0.016585268907874706
ansprechendes; 0.01647007526116795
schwarzem; 0.016408822119046818
nessi; 0.016389843371143797
federführenden; 0.016367744150556973
passieren; 0.016313764474034542
geschnittene; 0.01606488746620016
kopfhörer; 0.016057804226875305
erweckt; 0.01605278656865039
namen; 0.015965297930051747
reach; 0.015947072843118804
mitgeliefert; 0.01581374857778428
ausziehbaren; 0.015777910190081457
taschen; 0.015753776457131607
querschläfer; 0.015742630392196588
unterbringung; 0.015651630871616362
übriges; 0.01565162096937911
verwahren; 0.015632653929060325
einzigartig; 0.015595166114508174
geschützt; 0.015519907845373382
grazilen; 0.01544878224376589
kautschukholz; 0.015447677789779846
