Wort; Durchschnittlicher Wert
großer; 0.16896886926861043
braun; 0.1556908549275704
rosa; 0.15474296873117055
dieser; 0.14622501829644818
matto; 0.14371727580419247
süße; 0.14153770764187357
eindrucksvolles; 0.13957122818555945
pölstern; 0.13777871630600202
kilogramm; 0.13510998524998286
bringt; 0.13437614619533633
zugabe; 0.13422197919840073
wand; 0.13304099801507618
maschine; 0.13211373501326307
verloren; 0.1318332804662532
sitztiefe; 0.13095923410469368
vintage; 0.13077011110999592
reich; 0.13074858349978058
robuste; 0.12914118462549595
angenehmem; 0.12887384233499688
toller; 0.1269162218782185
lackiertem; 0.12680794182915633
hellbraun; 0.1266436175387753
liegefunktion; 0.12496623569040821
hand; 0.12445825394070198
c; 0.12343350341870973
richtig; 0.1231823455772485
machen; 0.12280087486641378
prakitscherweise; 0.12277378797216443
komfortschaum; 0.12220664625965583
maximale; 0.12196425106637321
ausschließlich; 0.12179724484241206
royales; 0.12149883173924536
nierenkissen; 0.12141412124356066
mid; 0.12129873085359577
dunkelblau; 0.12104489679813923
you; 0.12050131169017675
informationenpaketgröße; 0.12049089087850007
hinweis; 0.12041238138770893
frische; 0.11988660829956643
querschläfer; 0.11764226007608158
harmonisches; 0.11719450414125276
xl; 0.1169369544750225
erleben; 0.1164506501713447
kghinweisdieser; 0.11607576711821821
buchenholz; 0.11602882895112998
paketgewicht; 0.11560974181336703
massiven; 0.1155368863962849
reißverschluss; 0.1154451121025204
regi; 0.11539069519358236
einsatz; 0.114958353792872
