Wort; Durchschnittlicher Wert
misst; 0.19974091668700567
weiter; 0.18813828282873146
einrichtung; 0.18658118997700512
kopf; 0.18642943224404007
einziehen; 0.18520165919471765
schliff; 0.18507748599222396
ordnung; 0.18178978122887202
unterstreichen; 0.1801606646622531
verräumen; 0.17956723528914154
eiche; 0.1774631012813188
rollroste; 0.17631141269521322
offenen; 0.17504908715636702
liegeerlebnis; 0.17381165675033117
geeignet; 0.1728642689777189
wangenform; 0.17251399068481987
greige; 0.17150430487527046
ende; 0.17146331743424525
letzten; 0.1704128985729767
tasse; 0.16979264565452468
fußform; 0.16895331843261374
möbelstücke; 0.16844482890246582
naturfarben; 0.168121230090037
friscokombinieren; 0.167707005108241
füßenstilvoll; 0.16652609515585937
dauerschläfer; 0.16618702770210803
schlichten; 0.16600280976854265
linien; 0.1648609721887624
jene; 0.16429502492610482
marino; 0.16370207819272764
langjähriger; 0.16350335787865333
matratzenhöhe; 0.1634807750233449
samtoberfläche; 0.16346196546510328
ausspannen; 0.16340117350773653
boxspringsofa; 0.1632841239334084
platzangebot; 0.16267462677024014
seitenteil; 0.16234682727372274
konischen; 0.16114151565125212
flair; 0.1611004286824027
ablagefächern; 0.16068157933477778
nobles; 0.15957567799341632
begleitet; 0.1593916367564816
erzeigt; 0.15930209371435922
möbelstückes; 0.15901354369634646
polyurethanschaumkernhärtegrad; 0.1580495418747887
klaren; 0.1577434520877432
anthrazitmaterial; 0.15755360036564525
wollen; 0.15733565439586528
entdeckendrucken; 0.1573131714394549
kiefernholz; 0.15711228194413707
kiefer; 0.15681265042803716
