Wort; Durchschnittlicher Wert
minuten; 0.24525718760560267
hinweisbitte; 0.2395490502094617
grauem; 0.2173707541078329
beflockte; 0.2168286944652209
charme; 0.19420975344110047
senfgelb; 0.1913233804370975
grauen; 0.18951538049441297
formschaum; 0.18869861574785318
mitgelieferten; 0.18800799932796508
verhindert; 0.18736701660964172
zeitloser; 0.1873361029138323
person; 0.1864631365024252
airbed; 0.18478635314386338
grau; 0.183549904380925
schwarze; 0.1800461241218727
elektrischen; 0.17884176532970741
mitgeliefert; 0.17612640591687523
rückenlehne; 0.17287716099235695
empfehlen; 0.1722486845774256
pvc; 0.17149527103174478
reparaturflicken; 0.16825237045122776
teilige; 0.16571095582912676
versprüht; 0.1641059369139839
webstoff; 0.16399582748272223
montageanleitungdrucken; 0.16329173973645084
einzelbett; 0.1621375575195998
entgehen; 0.16099170144298114
stoffbezug; 0.16039107291726395
geschickt; 0.160159340914106
schaumstoffpolster; 0.15854908311848703
carrol; 0.15774161071749404
echtholz; 0.1571069219680794
somit; 0.15445753645326477
havanna; 0.15430495651889942
luftmatratze; 0.15409647556953132
einlasstiefe; 0.15345205855555832
gradlinigen; 0.15339423959085252
verführerische; 0.15335871509159915
schon; 0.1528413601918146
flexibler; 0.15152527735335752
situation; 0.1509761884699401
t; 0.15063774657755857
nimmt; 0.15004210695042275
schlafsofa; 0.1498915917090926
dekor; 0.1497074765866273
erholung; 0.1491192909752499
elektrischer; 0.1483996220777044
geneve; 0.14790915208868682
praktisches; 0.1465635366985225
schnellverschlussventil; 0.14589850840275176
