Wort; Durchschnittlicher Wert
eindrucksvolles; 0.04445479190326296
silvia; 0.04147410357836634
einerseits; 0.03687158299726434
flexibles; 0.03613890784617979
eichefarbene; 0.03586040031223092
fröhlichem; 0.035553055015043356
extraportion; 0.035445987414277624
wohnzimmern; 0.03513350152570638
verloren; 0.035063193761743605
grauem; 0.03472342627355829
raumes; 0.03415044759094599
wohligen; 0.033888956568262074
schaumstoffkissen; 0.03344608760380652
geliebten; 0.032889740861719474
transport; 0.03254038008162752
außergwöhnlichem; 0.032468673947732896
mitgelieferten; 0.032462728770042304
energievoll; 0.03226157322842482
maxi; 0.032184997253352776
graphitfarbene; 0.03172197970707202
erscheinen; 0.03133348708797712
hautnah; 0.030348918051458895
la; 0.03019493595638778
maserung; 0.030127942065519164
beflockte; 0.029559633010649122
senfgelb; 0.029552586915087886
erwachsenwerden; 0.02907867524481844
gehen; 0.02896990583394654
verhindert; 0.028731880396662746
auszug; 0.028286871485761367
wohlfühlatmosphäre; 0.02808866089617368
zeitloser; 0.027840337046654895
dienen; 0.02780431827704888
olifant; 0.027682473562890664
krönenden; 0.0274361820120248
vielseitige; 0.027187524865439627
zubehör; 0.02688545150886057
kippfunktion; 0.026739509712569998
ausgiebig; 0.026588205404550536
silberfarbenden; 0.026544729611487128
bettlade; 0.02617974871827755
luisa; 0.025894519050780218
aufeinander; 0.025836719767539762
n; 0.025498301723928307
wahlweise; 0.024853097849700134
i; 0.02474678258295171
angebracht; 0.024559221536037512
klein; 0.02433898094750475
polyesterbezug; 0.024102769987621286
freizeit; 0.02389626018521085
