Wort; Durchschnittlicher Wert
stellen; 0.031222594447172014
dl; 0.030787837112711713
lektüre; 0.030064845814194996
fröhlichem; 0.029159830995922675
sitzmöbel; 0.028729023443702317
kopfteile; 0.02862225651733752
rollrost; 0.028156263040727936
dunkelblaue; 0.027988695350359194
schönes; 0.026523018595526082
schwarzem; 0.026238168138661422
kleinere; 0.026166736985032912
punktgenau; 0.02609481420586235
gesteppte; 0.02537332674364734
auszustrecken; 0.025154526711048675
gepolsterten; 0.024945169705461012
mikrofaserbezug; 0.02494363194273319
ansprechende; 0.024943314419942908
kunstleder; 0.024935813874435553
extraklasse; 0.02486967532604467
reisetasche; 0.02474822965268686
kautschukholz; 0.024635097150621732
heiß; 0.024324721991433762
kein; 0.024120606900396524
auseinandergefaltet; 0.024063101642241236
höher; 0.024002188351005316
funktional; 0.02399006455380004
neues; 0.02385378749022493
ausgezogen; 0.02380065278521215
karlo; 0.02370165208230901
hochleistungsreparaturflicken; 0.02356005911133252
set; 0.02354916574404342
bezogenem; 0.02350655780173838
wundervolle; 0.02348669424407035
zarten; 0.023390526705043158
genuss; 0.02338328336190898
luxuriöses; 0.023377442031787155
wolken; 0.02335077297175303
reise; 0.02329788138740696
brunello; 0.022985377778240945
modern; 0.022831819995190017
einlasstiefe; 0.022692558319249656
geräumiges; 0.022515186822602118
raumwunder; 0.022491281593829626
blitzschnell; 0.022268583103141282
kindes; 0.022218416932446416
ausladender; 0.021977836142468732
dienen; 0.021944830383290537
mitgelieferten; 0.02181787689914927
bettschubkasten; 0.02173422610576381
zusammensein; 0.021682378646801226
