Wort; Durchschnittlicher Wert
eindrucksvolles; 0.08754164006677456
angenehmem; 0.0867740931280423
Pölstern; 0.07454741693800315
Wand; 0.0717575748130912
Vintage; 0.07085520803229883
Dunkelgraues; 0.07071971980622038
puncto; 0.07017562005785294
Liebesroman; 0.07014837849419564
zwischen; 0.06967435824481072
gehen; 0.06942050787620246
graue; 0.06839087667322019
Dunkelblau; 0.06780820596031845
prakitscherweise; 0.06664378213463351
kompakten; 0.06505132751226483
Freude; 0.06395286303813918
edel; 0.06382869073422626
LOTTA; 0.06340978544949394
Kein; 0.061564264877233654
großzügigem; 0.06155491215758957
Schlafzimmermöbel; 0.06062420973285043
Zubettgehen; 0.06034344114596024
verloren; 0.0602263220353052
mögen; 0.05967194652475882
Polstermöbel; 0.05957046852563508
FLORA; 0.05911680293502286
raumsparende; 0.05870424778549932
dunklem; 0.05861410961369984
LIVETASTIC; 0.05801816959865391
NORWICH; 0.057927921661757864
Reich; 0.05782100753276609
Regalfächern; 0.05759460135595873
LAGOS; 0.05713443644344807
Bequemlichkeitsfaktor; 0.05651444061368238
Sonntagnachmittag; 0.056388175988104194
Hand; 0.05618127979687415
Falls; 0.055638849138631485
flachen; 0.055545209179399535
lieben; 0.0553108379826881
fest; 0.0551206935706432
BELLA; 0.05496130292885937
PLAYBOY; 0.05438945956120733
Holzrahmen; 0.05406381511420477
Kind; 0.05396796646527946
beliebt; 0.05371272214688361
kontrastfarbene; 0.053700931050116196
Komfortschaum; 0.0531979843362933
Rosa; 0.05297994494321756
darüber; 0.052939618879463524
Landhaus; 0.05257383960997686
Ausklappen; 0.05231982850818895
