Wort; Durchschnittlicher Wert
reissverschluss; 0.24260274253902026
prakitscherweis; 0.2324979075056035
maschin; 0.22970748405350605
verlor; 0.2249011523090303
eindruck; 0.22209144549560733
hartegrad; 0.2154749411274679
juist; 0.213975259612198
eindrucksvoll; 0.21257877223251853
zon; 0.2073725294030737
matto; 0.20472064989735372
raumspar; 0.203466408100212
kilogramm; 0.20321434788638726
durchgeh; 0.20073156387661584
wirkt; 0.1980790332199831
edel; 0.1976541654294124
wandgestalt; 0.1975782434165012
tipp; 0.19453334591526072
geh; 0.19421757545205764
reich; 0.1924102141347248
schlafgefuhl; 0.19136606765096076
buchenholz; 0.19026719991961727
sieht; 0.1877287382679924
korp; 0.1876831566077044
kghinweisdies; 0.1851686000263726
viscoschaumk; 0.17918586184350715
natur; 0.17895943703479134
belastbar; 0.17856758843845455
komfortschaum; 0.1785198964207666
braun; 0.17684782079595607
c; 0.17634860638645478
rosa; 0.1762439531066775
bodenlang; 0.1759841482748925
vintag; 0.17455558861547615
informationenpaketgross; 0.17387554230572277
holzrahm; 0.17335906668449752
verdeckt; 0.17220043957058806
paketgewicht; 0.17182361250161193
mara; 0.1701062791107688
zusagt; 0.16943936149255023
gewicht; 0.16811966563727765
fussbein; 0.16806552640309746
heiss; 0.1664038049930241
velour; 0.16544122516370408
lagos; 0.16516701111686416
treffpunkt; 0.16414193290984258
kingsiz; 0.16391499274050148
abrundet; 0.16223364765755832
knopfnaht; 0.16199138397496426
start; 0.16169040988825145
unterteil; 0.16144340632854437
