Wort; Durchschnittlicher Wert
schlafzimmermobel; 0.024168334396563296
kuscheleck; 0.02237292931022239
xl; 0.02220935220429965
moment; 0.020433790483366465
ubernacht; 0.019776515080593526
hochschlaf; 0.019604907314715092
kontrastfarb; 0.019455656666877985
schlafmog; 0.01936410157213686
leichtgang; 0.019022623419004958
samtbezug; 0.018717766037298134
holzfuss; 0.018474546769539302
wertvoll; 0.018473215779522434
fango; 0.018259374981425935
entdeck; 0.01815101220199722
designstark; 0.018107304218574427
dl; 0.018018508779505282
gegeb; 0.017919911548233358
driv; 0.017760384536813945
wohnbereich; 0.017745001885487
traumbett; 0.017556485428940505
lazy; 0.017250437411803432
ausgeruht; 0.017183988362376112
salerno; 0.01714317443111213
inzwisch; 0.017100863478844985
fehl; 0.016928377716794785
bettzeug; 0.016872378597327042
unterteil; 0.016869143168150913
sitztiefenverstell; 0.01684423514552691
zuruckzulehn; 0.016809903992907493
stilbewusst; 0.016756750344939064
wertet; 0.016748350259149447
lukka; 0.016699090096153668
mal; 0.016696641789167188
regi; 0.01660345857089851
querschlaf; 0.01642187467223266
piec; 0.016359321289201034
positioni; 0.016352030768757686
metallfuss; 0.016332365000380378
rosa; 0.01625981587858405
kombiniert; 0.016197645865759114
funktion; 0.016191574295362443
juist; 0.01617604105558712
einenkomfortabl; 0.015992177610314684
antara; 0.01589918544414104
erholungsphas; 0.01588476634788094
vorhand; 0.015858297005252098
charakt; 0.01579204227164155
bequemlichkeitsfaktor; 0.015781512585817836
ausserd; 0.015554903606243897
frisch; 0.015520980508881621
