Wort; Durchschnittlicher Wert
ordnung; 0.3007937353977468
vergang; 0.2930617018864723
geeignet; 0.28270050486025866
liegeerlebnis; 0.26482155330086243
matratzenhoh; 0.25813530007690133
unterstreich; 0.2558338336239103
fussenstilvoll; 0.252818876208039
hinweisepaketgross; 0.2521918198217463
klar; 0.24792842641181778
fussform; 0.24642950566021682
schliff; 0.2441844843851868
tass; 0.24412801344078616
wangenform; 0.24245948204770684
letzt; 0.2386556007550098
darauf; 0.23856036803044844
kgzustellungdi; 0.237968170811655
einzieh; 0.23541404615389183
eindruck; 0.23517394542432157
edelstahlfuss; 0.2316558667280333
schlafmobel; 0.22838944139220985
element; 0.22637483007201809
farblich; 0.22432510698126862
cariba; 0.22379528830060735
rautenform; 0.22324854371981928
friscokombini; 0.22279913828970166
komfortschaumkern; 0.2224539514427306
asthet; 0.22207639539556112
asiat; 0.22177194288451574
naturbelass; 0.22163987762178294
webstoffmax; 0.22144495794782415
kapitel; 0.2212409734420362
greig; 0.22026257133984473
reissverschluss; 0.21942113258410245
besteh; 0.21914252532224054
saubermach; 0.2191280246115639
verlauf; 0.21883526129386155
durchschein; 0.21882481531065423
british; 0.21752157862647437
entdeckendruck; 0.2163694783084793
erfull; 0.21631608251482248
geschloss; 0.2157203651368036
konzentri; 0.21535977561143227
wohin; 0.21524764138303
very; 0.21465817758144112
lieblingsroman; 0.21414749910400133
erzeigt; 0.21360961013124324
samtoberflach; 0.21126250925914292
begleitet; 0.2108074211719213
unverwechselbar; 0.2103197569376789
anstreng; 0.21007212793210783
