Wort; Durchschnittlicher Wert
hinweisbitt; 0.49100083544908557
bestway; 0.4118563977535814
einzelbett; 0.36814675097411964
mitgeliefert; 0.36184016068000346
dekor; 0.3529249668790726
bonellfederkernmatratz; 0.346151945690508
genev; 0.3446571830427274
zusamm; 0.3403208590752911
mar; 0.3385844010626897
edelstahl; 0.33638922942918725
eignet; 0.32924163338611834
bettlad; 0.32219668265315704
sitzgeleg; 0.31615416752174497
reis; 0.31472627277253196
eigent; 0.3146402188867796
empfehl; 0.30991073604673147
queen; 0.30734103615395725
schaumstoffpol; 0.30693633505143225
einlasstief; 0.30663803283823654
simon; 0.3034182822157163
fernsehsessel; 0.3004952509654686
unterweg; 0.2975756389205344
charm; 0.2937569193964009
senfgelb; 0.290210212522652
entgeh; 0.29006824901443906
geraum; 0.2870272404325078
flexibl; 0.28203727648360655
havanna; 0.28033694076293614
kategorienwohntextilienvorhangestehleuchtenwohnzimmertischedruck; 0.28028513766184915
klein; 0.27425638681597775
sessel; 0.2706498247862328
schaumstoffkiss; 0.2706431760743726
echtholz; 0.27006153608090244
montageanleitungdruck; 0.2684130903799087
ergeb; 0.26701807895005913
geschickt; 0.2640254143043421
formschaum; 0.2627994505746756
diwan; 0.26208284364111023
dreifach; 0.2601613192819059
herz; 0.2576638148166239
artig; 0.25700627866899595
bari; 0.2569556863163598
dezent; 0.25627980689750984
funktionell; 0.25532390267471783
ausgeklappt; 0.2537296854570741
ausruh; 0.2523329945615842
camping; 0.25127159754629247
verhindert; 0.2504587752337102
zubehor; 0.25017636458505876
klass; 0.2500989932450466
