Wort; Durchschnittlicher Wert
luftbett; 0.39385747390042525
bestway; 0.36197747438927763
einzelbett; 0.351367320854024
charm; 0.3424533595753019
mitgeliefert; 0.3283612604282098
mar; 0.32599742531601805
pump; 0.3220196848124033
schlafplatz; 0.3174683673787513
empfehl; 0.3136228122457396
beflockt; 0.30808490682693446
zusamm; 0.30081254938818347
minut; 0.2925574127002619
bettlad; 0.2921612301215646
genev; 0.28884666075828136
einlasstief; 0.28681294570560567
hautfreund; 0.2857677893443906
dekor; 0.281988749957236
schlafsofa; 0.278062229286661
reis; 0.27402189168788027
fernsehsessel; 0.2738190395248239
eignet; 0.26792174290312687
montageanleitungdruck; 0.2621822929359041
sessel; 0.2555828940421634
simon; 0.2536220170222805
kategorienwohntextilienvorhangestehleuchtenwohnzimmertischedruck; 0.2511832133823191
verfuhrer; 0.2484987224888755
schublad; 0.24827290124812862
platzspar; 0.24674110070918687
queen; 0.24205591977079166
artig; 0.24100299059500685
pvc; 0.23808550787362037
entgeh; 0.23685326593113132
klass; 0.2349724911400699
teilig; 0.23255547865846893
verhindert; 0.23162705101276515
verspruht; 0.2307452453460428
geraum; 0.2304834411615957
nimmt; 0.2284667842759518
airbed; 0.2281243467805325
kippfunktion; 0.22763839445542544
sitzgefuhl; 0.22596654325752752
camping; 0.22499414325284306
diwan; 0.22368201312201563
ubernachtungsmog; 0.22286506750242552
unterweg; 0.22158488074637717
carrol; 0.2202455190999899
inkludiert; 0.22017368646766045
schaumstoffpol; 0.219678375768126
gradlin; 0.2194125230080317
beleucht; 0.21630829756395542
