Wort; Durchschnittlicher Wert
luftbett; 0.25516708226132323
grau; 0.2515995478534023
bestway; 0.24580095356941456
hinweisbitt; 0.23341856504339376
einzelbett; 0.23190658508974593
mar; 0.2304337605892215
schlafplatz; 0.2117641278030078
empfehl; 0.20566009779577143
pump; 0.20510736716823885
bettlad; 0.20064445123716723
mitgeliefert; 0.2001583774763276
beflockt; 0.19579085081932135
einlasstief; 0.19514027902914677
hautfreund; 0.18832823299635493
charm; 0.18743977030453607
genev; 0.18741579069319414
bonellfederkernmatratz; 0.18715171188705426
eignet; 0.18467350797072868
echtholz; 0.1833355913622654
minut; 0.18122861536539858
formschaum; 0.17931565034086816
schaumstoffpol; 0.17830284376395866
airbed; 0.17565322566497343
ruckenlehn; 0.17388689149811398
eigent; 0.17381115436000982
stoffbezug; 0.169515712253542
sessel; 0.16916363886775798
reis; 0.16688972657721024
ubernachtungsmog; 0.16506941601619474
hinsetz; 0.16250202438186534
dekor; 0.16224031221645419
pvc; 0.16202563033584738
funktionell; 0.16075487750640605
unterweg; 0.16065807604172733
havanna; 0.15897192237025592
simon; 0.15845884155896783
queen; 0.15838118643478083
sitzgeleg; 0.15557496165092743
carolina; 0.15453720408549998
nimmt; 0.15441697891401418
bari; 0.15348052317040128
inkludiert; 0.1531270332288841
weiss; 0.15268971000114107
verbreitet; 0.15192536889844632
geschickt; 0.15153892933358293
verfuhrer; 0.15138698669761652
t; 0.14897339164235746
zusamm; 0.14880369525053538
dezent; 0.14878649083766504
mercura; 0.14846869795309203
