Wort; Durchschnittlicher Wert
ordnung; 0.25070441804746224
naturbelass; 0.2267981929871894
misst; 0.19797205681061314
ausziehbett; 0.19181777345511364
wangenform; 0.19024189295697624
cariba; 0.18350573498901213
fussenstilvoll; 0.18262603042785486
griff; 0.18050676504572039
hol; 0.17989748118952775
dauerschlaf; 0.17831694017786504
wiederum; 0.17652341165558028
unterstreich; 0.17458504177147915
begleitet; 0.17280171785751008
asthet; 0.1722404600437244
schlafgemach; 0.1708350265325862
einricht; 0.17050706091140455
hinweg; 0.16895614689292415
farblich; 0.16784667806609832
fur; 0.16652093283846625
einfugt; 0.16561989991896553
schlicht; 0.16496156936750594
weck; 0.16450066361881
loung; 0.1601806114294959
vergang; 0.15927950747936848
versprech; 0.15838651014928473
verraum; 0.15833275348813913
mitt; 0.15771589228825178
komfortschaumkern; 0.15734138223342597
designelement; 0.15630040601399742
letzt; 0.15628503315565467
nosagunterfeder; 0.15616347579634748
himmlisch; 0.15595966205773948
eyecatch; 0.1557637376608909
gehor; 0.1553071726402777
eich; 0.15524189560528612
bedruckt; 0.1547595573865692
wechselspiel; 0.15406634112048323
camelfarb; 0.15287297451868653
angekundigt; 0.15231184479489457
mocht; 0.15076972817769274
wed; 0.15050932890744662
goldfarb; 0.15044525751682158
silb; 0.15027900069617317
platzangebot; 0.14968861711531645
schliff; 0.14959708159221918
kief; 0.14944905048770352
farbkontrast; 0.14915577708234196
anthrazitmaterial; 0.1488260675159836
melinda; 0.14866197372816714
kombinierbar; 0.14787993387653842
