Wort; Durchschnittlicher Wert
abnehmbar; 0.06671296394779347
mischung; 0.05703141689446056
gering; 0.05006642213265877
lederopt; 0.04400924586116162
beleucht; 0.03586170212292927
nero; 0.03497308615078509
abgebaut; 0.03492888957498508
lieblingsroman; 0.03479377378971549
polyurethanschaumkern; 0.03446265411184868
verschwind; 0.033621046371308694
einlasstief; 0.03193174594161974
led; 0.031722835134132765
abriebfest; 0.031338998924184125
staufach; 0.031335936028881406
dreisitz; 0.03126747868373059
schlafseit; 0.031094535244847066
landhaus; 0.030792406919317727
ph; 0.030602668506617192
einladt; 0.030313402457977645
stimmungsvoll; 0.029862010011129314
faszinier; 0.02966255106252902
stoffbezug; 0.029532464503063238
rutschf; 0.029513273247175675
selb; 0.02948134042918582
adel; 0.028198766907735262
beflockt; 0.028161967455162085
modisch; 0.02768209884152384
airbed; 0.027557042958505917
lita; 0.02732472913703532
leistung; 0.02725488737996784
modena; 0.026970521201292286
reis; 0.026904010206635576
schrag; 0.026688592766731745
einsitz; 0.02640008564776508
schaumstoffmatratz; 0.02629302039895265
fuhlt; 0.026233836733808857
erstreckt; 0.025974258503993042
anlehn; 0.02580754530572449
styl; 0.025653204758782522
genausoschnell; 0.025623443663789658
vermitteln; 0.02535265359620098
trio; 0.02530787462455919
queen; 0.025165177808958106
krimi; 0.025122510585788405
schaumstoffkiss; 0.02503410114104554
abrund; 0.024678684827449615
kombinierbar; 0.02466995772374503
unterschied; 0.024634762239656993
emilia; 0.024565789066400612
freud; 0.024474808651575586
