Wort; Durchschnittlicher Wert
knopfgriff; 0.07557100204212475
frohlich; 0.06253017837298103
richtung; 0.0562895287948777
heiss; 0.0559607451868942
arm; 0.05450587205814372
hinblick; 0.05405276371311629
skatemod; 0.053039621255265956
liegefunktion; 0.053030427610792685
verlor; 0.052994758252680185
nahezu; 0.052412534758332185
ergebnis; 0.05228586161683779
geliebt; 0.05203022179193795
zubettgeh; 0.05191828692875333
armteilverstell; 0.05133817658861517
bequemlichkeitsfaktor; 0.051046917207713705
eindrucksvoll; 0.051015039112826344
relaxposition; 0.050309341138927266
lagos; 0.04901576600786939
olifant; 0.04874052840023069
je; 0.04867288745663245
moon; 0.04849429496243829
armteilvariant; 0.04838622754323296
sichtbar; 0.04834866319288267
arezza; 0.047693047868961
manchmal; 0.04702194463334308
designfarb; 0.0469045999343507
paso; 0.04649223446904216
stellbar; 0.04649012125446461
prakitscherweis; 0.04623186991739203
eher; 0.04606698288262123
spielsach; 0.04582671888420009
treffpunkt; 0.04555601750325877
abzuzieh; 0.045228684127323504
regi; 0.045209734940726776
juist; 0.04511278907011729
vares; 0.044955077311897185
kilogramm; 0.044888398230796156
norwich; 0.04475900671377531
samtoberstoff; 0.04475051871850155
raumspar; 0.04463437310914742
abgesteppt; 0.04448562713514548
sonntagnachmittag; 0.04435328909312375
vintag; 0.044315894368537556
perugia; 0.04424040935737139
passi; 0.04374953392652969
dahint; 0.04334596164699178
angestammt; 0.043326142915248056
vorteil; 0.043287619559123414
liegevergnug; 0.043262486844469095
wohnzimmerj; 0.042917173595924396
