Wort; Durchschnittlicher Wert
greig; 0.05507779833715176
hervortret; 0.05085298734775279
charakt; 0.04609236948090256
smart; 0.045944734676595544
ablageflach; 0.04343944613719941
antara; 0.04275739218428498
charming; 0.041583394195185974
genutzt; 0.0415228395286249
unterbett; 0.040891609991376754
kopf; 0.03717879164560145
griffmuld; 0.03601385784622835
reichlich; 0.03597134792653378
dauerschlaf; 0.03575187100796029
geschaff; 0.035650979036290664
geklappt; 0.03543075244670035
samtbezug; 0.035382206024223706
gasteraum; 0.034838078481698176
pflegemontageanleitunghinweisstoff; 0.034330116999626625
gestapelt; 0.034265177331235463
himmlisch; 0.03380064535303973
muss; 0.033788455330068246
namlich; 0.03376410850614775
play; 0.032751854647358414
formvollendet; 0.03257569635024993
nachtkommod; 0.0323604590157629
erscheinungsbild; 0.03227917785079626
gepaart; 0.03217875924292457
gurt; 0.03165603220986668
berisso; 0.03156350961580756
einzig; 0.031351946903441785
sonoma; 0.031000439761555754
ausschliess; 0.030889278303220635
erahn; 0.030694726795445604
nordisch; 0.030616581309004687
eyecatch; 0.03024416952393949
rosa; 0.02992067320155911
ordnung; 0.029647185787325725
zusammenspiel; 0.029308733228390338
betracht; 0.02927952172467485
avara; 0.029236868636871804
leg; 0.02890772742102854
kompletti; 0.028891944559291005
eingeklappt; 0.028795676818845095
erstklass; 0.028673831306377906
wurfelform; 0.028521575241029495
samtoberflach; 0.02844283263402758
unterstreich; 0.028404202639649156
detail; 0.028186000723508187
vorteilhaft; 0.028182360190839972
raumlich; 0.028179795430332888
