Wort; Durchschnittlicher Wert
buchenholz; 0.22652460591234558
wand; 0.20949100764119066
rosa; 0.2069586674169841
toller; 0.20223048050320358
kilogramm; 0.19406710519251646
maschine; 0.1916393047386009
braun; 0.1893903120117102
juist; 0.1863379936949059
angenehmem; 0.1858126019797055
hand; 0.18463642209098907
matto; 0.18352684604178648
robuste; 0.18225257311860332
lieferumfanges; 0.18097881734138355
kind; 0.18016341359361832
hellbraun; 0.17769364420109923
eindrucksvolles; 0.17489012515216018
nierenkissen; 0.174748952695154
vintage; 0.17414272206951864
pölstern; 0.17117290496389614
querschläfer; 0.17076244043710176
süße; 0.1706440202815429
reißverschluss; 0.1702736207990938
besitzt; 0.16549303120063996
bettschubladen; 0.1630281036195811
lackiertem; 0.16174154608870595
fernbedienung; 0.16173780414419525
komfortschaum; 0.16022324363257212
frische; 0.1588721347725368
kghinweisdieser; 0.15768507376014895
komforthöhe; 0.15703258915641527
kopf; 0.15644102307851426
beträgt; 0.15537454852528754
braune; 0.1553268339848728
richtig; 0.15479951990528207
echt; 0.15446752776551875
livetastic; 0.15415617871803988
gemütlich; 0.15392545360975873
dunkelblau; 0.15331757124658907
dadurch; 0.1523018093871542
wandgestaltung; 0.15099861190537922
neinlattenrost; 0.15031001114221
paketgewicht; 0.149840359701102
wurde; 0.14939677092479542
informationenpaketgröße; 0.1489905665475817
ausschließlich; 0.1472034067869572
ausstattungsplus; 0.14719563915969047
kindes; 0.14676662199781276
raumsparende; 0.145833276284975
reich; 0.14490702865441563
paketspezifische; 0.14480120386997442
