Wort; Durchschnittlicher Wert
ordnung; 0.2522800185724918
bigsofa; 0.23933507438050583
garcia; 0.23817282426171005
rückenpölstern; 0.2265468525220058
einrichtung; 0.21265973064146237
geradliniges; 0.20884285544525483
spielt; 0.20540374981158038
misst; 0.20303610788272408
ästhetische; 0.19675378668762278
füßenstilvoll; 0.19491460964582075
rollroste; 0.1939936699673126
unterstreichen; 0.19316772329011656
ruft; 0.1913525995105374
wangenform; 0.19053814884500753
erzeigt; 0.19041946689685574
schlafgemach; 0.18939516297905357
pflegehinweisedrucken; 0.18769656494259834
hervorragend; 0.18497716281126486
greige; 0.1842814962974444
langsam; 0.1826659747694066
müdigkeit; 0.18080461999170439
matratzenfixierung; 0.18043704149749829
formschönen; 0.17991514108143747
entdeckendrucken; 0.17987804568110732
möbelstücke; 0.1788613397370682
langjähriger; 0.17870186379695951
ende; 0.17860270115033927
lattenroste; 0.17641067830118118
bettanlage; 0.17593533750550705
fürs; 0.17502506710297894
teilen; 0.17491621795488754
genutzt; 0.17440185942541575
anthrazitmaterial; 0.17353152849682374
unterschiedlichen; 0.1730182975788921
beautifiul; 0.1726097947175731
is; 0.17200599366333336
griff; 0.17093757894690498
marino; 0.17001884072669782
erweitert; 0.1690204750502744
rolle; 0.16845639070379548
wecker; 0.1677401360470867
nachts; 0.16752590008491097
kategorienwohntextilienvorhängestehleuchtenwohnzimmertischedrucken; 0.16745401540538296
ausziehbett; 0.16688770575547096
naturfarben; 0.16614590557674092
angekündigt; 0.1653593799101145
harmonieren; 0.16493094814904907
eyecatcher; 0.16480669662814762
friscokombinieren; 0.16402375257166568
modernem; 0.16388643746176967
