Wort; Durchschnittlicher Wert
eindrucksvolles; 0.030784610091359355
kind; 0.03072625461447842
prakitscherweise; 0.02531667063885834
gehen; 0.025182165845762938
hand; 0.02513580262848336
graues; 0.02498649825793109
eigenen; 0.024899615512367745
aufwendige; 0.024855935344021418
eichefarbenem; 0.02399170902208425
angesagtem; 0.023955718526849523
pölstern; 0.023390799178741872
selbstverständlich; 0.023255186828464502
dunkelblau; 0.022374761814717203
vorteil; 0.02231276776001323
lagos; 0.021794112835777923
zubettgehen; 0.02157991609419696
buchenholz; 0.0215479982944089
have; 0.02095433919566858
ausladender; 0.020592838089214638
matto; 0.020541213765682187
velours; 0.020421869106939994
dicken; 0.02037551843386609
holzrahmen; 0.020195031131152064
absolutentrendfarbe; 0.02011359788593836
polyurethanschaukern; 0.020082810216990765
eck; 0.020058833732036874
verregneten; 0.01987868578726193
auszubreiten; 0.019875682974088704
bettkästendas; 0.019810014535323717
sternen; 0.01967881972086616
dunkelgraues; 0.01930365338921547
vielseitigkeit; 0.01924982842137979
hellbraun; 0.01916622691351222
kräftigen; 0.018960108078317717
garnitur; 0.01886740325426217
frischen; 0.01865538184210891
komfortschaum; 0.018573170353192836
hinweiseine; 0.018511637710616924
edel; 0.018474083248293027
selig; 0.01835023560852278
braun; 0.018335714938984893
nachmittag; 0.018108003874658607
nahezu; 0.01803739822935313
sitzvergnügen; 0.017895246841362678
fröhlichem; 0.017809686018154025
vollenden; 0.017799116943933768
braune; 0.01779206490755314
alufarbenen; 0.01744124325341545
wunderbares; 0.01736824100225931
hebt; 0.01729104160767747
