Wort; Durchschnittlicher Wert
hinweisbitte; 0.33772260531259235
luftbett; 0.3364459305885248
bestway; 0.31611842986603733
grauem; 0.2820928255750914
pumpe; 0.27360186555597465
beflockte; 0.2692474898940418
minuten; 0.26323056175897364
einzelbett; 0.24964312867086846
bonellfederkernmatratze; 0.24354745810705936
schwarze; 0.2418844542116858
feines; 0.2415507415207685
hautfreundliche; 0.24130139879707713
geneve; 0.24068927259213524
dekor; 0.2375425424252171
zusammen; 0.23460401405463926
senfgelb; 0.22881426708772779
eignet; 0.227205204274469
weiß; 0.2269110679590085
fernsehsessel; 0.22221317069488578
grauen; 0.22216487494733883
bettlade; 0.2157267921429593
zeitloser; 0.21508735392126255
elektrischen; 0.21486505676693923
charme; 0.2144398170421482
person; 0.21432433686277363
rückenlehne; 0.21183043033579452
klasse; 0.21183021796605317
übernachtungsmöglichkeit; 0.20965503217485093
dezente; 0.20925108309165807
mitgeliefert; 0.20880886286613531
doppelbett; 0.2081152225837286
rollrost; 0.20758065677910054
kleinen; 0.20619753368373495
geschickt; 0.20439224297297187
zweisitzer; 0.19909995284251636
carolina; 0.19819981801265385
mitgelieferten; 0.19669532696570968
simon; 0.1965114318761607
pvc; 0.19600059293588856
unterwegs; 0.1955634243422537
lese; 0.19424868823261932
schlafplatz; 0.19374257803428918
exklusiv; 0.19349394775053952
montageanleitungdrucken; 0.1926097775285598
edelstahl; 0.191184603126203
zusätzlicher; 0.19098621780676694
überraschungen; 0.18981262488887296
echtholz; 0.18911506227050268
stoffbezug; 0.18646170514330151
räumen; 0.18572348073212197
