Wort; Durchschnittlicher Wert
luftbett; 0.27805314591387287
bestway; 0.2653416031971574
grauem; 0.25572032151103485
hinweisbitte; 0.24584252414933871
pumpe; 0.21531440329636098
mitgeliefert; 0.2150054087396711
schlafplatz; 0.21259578223907738
grauen; 0.21127485273245838
rückenlehne; 0.2087042176463001
große; 0.20713636346772546
charme; 0.20419373878212355
bonellfederkernmatratze; 0.20205025094765006
empfehlen; 0.20088517156546004
schwarze; 0.19943876254546922
person; 0.19826415056741098
senfgelb; 0.1943403752084123
einlasstiefe; 0.19007626833627
grau; 0.1894197539659217
beflockte; 0.18909873518714448
minuten; 0.18829607605584897
eignet; 0.1881544403750013
einzelbett; 0.1880290604021866
geneve; 0.18791676498949528
mars; 0.18761993206862826
queen; 0.18715697315201396
teilige; 0.18685526328044944
webstoff; 0.1853228379477514
zeitloser; 0.17487164758858853
fernsehsessel; 0.17443187825847417
funktional; 0.17135148590023164
kategorienwohntextilienvorhängestehleuchtenwohnzimmertischedrucken; 0.17099776450777426
dezente; 0.17087151384475874
lässt; 0.16993054326849233
geschickt; 0.1682312160737638
schlafsofa; 0.16777855557666044
echtholz; 0.1646783772011986
montageanleitungdrucken; 0.16458848981710616
widerstandsfähige; 0.16296139910264174
weiß; 0.16091886687354418
unterwegs; 0.15895125174574787
erstrahlt; 0.15838229111977853
airbed; 0.1578881803288823
hautfreundliche; 0.15783101098350016
bettlade; 0.1576328245573677
übernachtungsmöglichkeit; 0.1565292903687805
cruz; 0.15618339058710262
stoffbezug; 0.15601676114965812
carolina; 0.15544616136139666
luftmatratze; 0.15529943324509077
verbreitet; 0.15482265929313144
