Wort; Durchschnittlicher Wert
luftbett; 0.25624122307635844
hinweisbitte; 0.24710492415033514
grauem; 0.23131054532859707
bestway; 0.22272428404539824
senfgelb; 0.21709087619092315
schlafplatz; 0.2077384050207911
grauen; 0.20651382554933662
schwarze; 0.20603804098300316
pumpe; 0.2022311162436381
charme; 0.19976236803631764
große; 0.19727812365272257
eignet; 0.18867974270597188
bonellfederkernmatratze; 0.18736688411445357
übernachtungsmöglichkeit; 0.1852818090119399
formschaum; 0.1837550952204765
minuten; 0.18277878619005605
zeitloser; 0.18264238873962313
rückenlehne; 0.18151368878170615
beflockte; 0.1764316857443191
lässt; 0.17294733748713043
empfehlen; 0.17256789765087888
schlafsofa; 0.16958518351384555
webstoff; 0.16824785610515391
geneve; 0.16492702066898346
mitgelieferten; 0.16458162837079726
lese; 0.16399356292095035
person; 0.1631107359789894
t; 0.16304897780355532
dekor; 0.16244898287186516
havanna; 0.16243111481890082
grau; 0.16220002045156434
queen; 0.16166193853132427
einzelbett; 0.160298811388202
unterbringen; 0.15991003543058468
zusammen; 0.15944290633342462
teilige; 0.15866328065749258
feines; 0.15832529343970236
funktional; 0.158073760845582
UNK; 0.15711172854935285
mars; 0.15643506736341806
geschickt; 0.15538850933808135
echtholz; 0.15475352623616345
exklusiv; 0.15382442757254466
camping; 0.1535661147790961
carolina; 0.15353596524801105
bettlade; 0.15288837160915136
widerstandsfähige; 0.15200021493365057
doppelbett; 0.15172938141040504
weiß; 0.1514136490876581
unterwegs; 0.15078272738128362
