Wort; Durchschnittlicher Wert
schlafplatz; 0.20716279123007553
person; 0.1988965666769218
geneve; 0.19546728506975342
dekor; 0.19173049693677058
kleinen; 0.18690012691476454
bonellfederkernmatratze; 0.1858451572334161
räumen; 0.1815618049126897
schublade; 0.1811326143651968
oberseite; 0.1778191684061312
pvc; 0.1766419202886027
hautfreundliche; 0.1756093308358686
reparaturflicken; 0.17448605384561233
ausgezeichnet; 0.17433591612643795
gästezimmer; 0.17410028479935136
feines; 0.17398315657919738
massivholz; 0.17369749996214523
vorgeprüften; 0.17193101828161161
wissen; 0.17036678610020317
minuten; 0.16916848539403873
grauem; 0.16865241117193364
edelstahl; 0.16791251528047724
camping; 0.16566734535444994
beflockte; 0.1627397088577709
ausruhen; 0.1617989620226581
robustem; 0.1613294636408682
platzsparend; 0.16119956848706352
bettlade; 0.16033094932936365
bestway; 0.15707977952479268
hinweisbitte; 0.15699431721441215
luftbett; 0.15694898614492558
mars; 0.15616580143250758
queen; 0.1556222580729809
tragetasche; 0.15463021430332446
einlasstiefe; 0.15388813371714605
geschickt; 0.15349327754483966
elektrischen; 0.15133400888953474
system; 0.15109864044643473
defekt; 0.15101104547647992
luftmatratze; 0.14988271127867847
unterwegs; 0.1495858015214253
bigsofa; 0.14924531658471096
vinyl; 0.14912925520184217
hinsetzen; 0.14870653703292191
eignet; 0.14769008537223272
raumes; 0.1469363527285168
stoffbezug; 0.14663132698842674
ganz; 0.14615370603860356
balkenkonstruktion; 0.14552589790582715
abnehmbarem; 0.1454006732237758
einzelbett; 0.14417122120357817
