Wort; Durchschnittlicher Wert
ordnung; 0.06631617681705393
wangenform; 0.05656842280586716
kategorienwohntextilienvorhängestehleuchtenwohnzimmertischedrucken; 0.05546380414671148
friscokombinieren; 0.054636271263007075
verrutscht; 0.05364538970752619
ablagefächern; 0.05354298258316703
harmonieren; 0.05294404114829376
kopf; 0.051824400725308806
marino; 0.05172590960864909
langjähriger; 0.050890190170918004
entdeckendrucken; 0.04886196681763977
puren; 0.04874184331129072
dunkles; 0.04781511510373093
hinzu; 0.0476667558614281
geradliniges; 0.0473373931417882
möbelstücke; 0.046844675729516894
laptop; 0.04672053245303687
optische; 0.045449259312590584
zeug; 0.04522950600403419
ebenen; 0.0450352460029535
griff; 0.04489192325854674
lässigen; 0.04486671275662957
erfreuen; 0.04483624552449328
simplizität; 0.0447989170497749
armlehnkissen; 0.04477753643732285
schlafsofa; 0.04466246487248782
matratzenfixierung; 0.04457022630958818
pflegemontageanleitunghinweisstoff; 0.044527612277306616
ablageflächen; 0.04442691314034164
zugeschnitten; 0.04429505055304617
afrikanisches; 0.044253308020415716
sitzpölster; 0.04422165086998575
rückwand; 0.04421272512990981
farbton; 0.04390599293401465
silber; 0.04300654520829994
füßenstilvoll; 0.04298493435544515
sitzen; 0.04247403922636295
natürlichem; 0.04242718283785507
laluna; 0.04231294512101158
fußbeinen; 0.04230875462235417
fehlen; 0.04229206446234457
melinda; 0.04200256985495798
wohnkonzept; 0.04192604761919938
karierte; 0.04173287930098013
dekoriert; 0.041708374657901004
beisammen; 0.04166937363334
konische; 0.04127692100882996
jugendliche; 0.04107077783555724
farbkombi; 0.04106393804977415
griffloch; 0.04093334263598081
