Wort; Durchschnittlicher Wert
kopf; 0.16478867957539478
rollroste; 0.16400937679100025
farbton; 0.15781440325372387
voraussetzungen; 0.14476457404543908
möchte; 0.14117200108012185
ordnung; 0.13491535201319493
samtbezug; 0.1302081397479924
geradliniges; 0.1300681313732639
nylon; 0.12961998592800228
edlem; 0.12648345102206804
komplettieren; 0.1263922814750913
möbelstücke; 0.1230519747332437
unterstreichen; 0.12262584479321958
robust; 0.12107502567232586
haushalt; 0.12104412195913028
holen; 0.12093127143816673
silber; 0.12072542376699857
einrichtung; 0.12038831177051179
braun; 0.11999834974994883
bereichert; 0.11958149915699323
dauerschläfer; 0.11926764738745987
fehlen; 0.11922328602668131
federkern; 0.1191435814180295
greige; 0.11884558269230183
später; 0.1178141758646234
matratzenhöhe; 0.11764166339708026
reinigung; 0.11736825479238178
ablageflächen; 0.11721979114372516
füßen; 0.11653410763392458
rot; 0.11475173074722989
stimmige; 0.11428655601048376
verräumen; 0.11361784987093415
gefallen; 0.11338981560038519
puren; 0.11315779529104475
ansprechenden; 0.11314384140860057
kontrast; 0.11290993366128532
zweit; 0.11145411645338754
formschönen; 0.11139301300863735
dunkelbraun; 0.11086858813359868
matratzenfixierung; 0.11050046312448103
friscokombinieren; 0.1104378708769218
zonen; 0.10976539050170686
pro; 0.10948375247971853
langjähriger; 0.10864549923644518
liegeerlebnis; 0.10842852827045135
perfekt; 0.1081914811511524
geschlafen; 0.10772424891183618
zeit; 0.10769571775381337
hochwertige; 0.1073267656171879
pflegemontageanleitunghinweisstoff; 0.10681627866142662
