Wort; Durchschnittlicher Wert
unterstreichen; 0.07671370729804039
sitzfläche; 0.07346423873968888
entstehen; 0.07163574811420403
lattenroste; 0.06981230866222177
raffinierte; 0.06815116842335556
maximale; 0.0674924648628803
rückenpölstern; 0.06520673830527812
steppoptik; 0.06494107983598951
platzangebot; 0.06435394757136237
ablagefächern; 0.06408744872896932
füßen; 0.06389384176873136
einziehen; 0.06379720268887468
stahl; 0.06299754722567741
nosagunterfederung; 0.06174883151834365
wiederum; 0.06148430972825736
ersten; 0.061077028873114614
beisammensitzen; 0.06106603789885412
bestehende; 0.060135940395412035
angestellte; 0.06012102998647606
fürs; 0.05972502357326448
fußbeinen; 0.05960960306765628
isabella; 0.05952801126113627
exquisiten; 0.05937166248077119
restlichen; 0.05826206501296838
marino; 0.05814087419275893
genommen; 0.05800720768456813
misst; 0.05786967753738281
gesondert; 0.05743412936863024
dunkelbraun; 0.05741906218463555
stapelbett; 0.05714778707624646
weiche; 0.056991787074366584
schattierungen; 0.056853452435461804
ordnung; 0.056500064965803176
sofa; 0.05620590165926842
rücken; 0.05592693973449059
teilen; 0.05561989464331418
letztere; 0.05561120598576963
ende; 0.05500730656899577
verziert; 0.05452469963347539
erhält; 0.05431506782770157
reichlich; 0.05423230509040877
entspannte; 0.05416620294650443
geradliniges; 0.05397519876714796
nylon; 0.05366653739474714
gefallen; 0.05364386347355321
griffloch; 0.05323310662060976
zeit; 0.05298964329995215
erhöhen; 0.052794905728660524
gesellig; 0.05269063690252551
seitenteil; 0.05265695933485404
