Wort; Durchschnittlicher Wert
schlichten; 0.08613348141352617
boxspringsofa; 0.07232205839493133
ordnung; 0.06912453379118233
isotta; 0.06871175864398538
angekündigt; 0.06539134820923209
türkisem; 0.06528402895310137
raffinierten; 0.06358527032716665
unterstreichen; 0.06350410880440904
holen; 0.05946136694728921
fach; 0.05933348627877422
formschönen; 0.05908983201425144
erfreuen; 0.058526227905531414
einfügt; 0.05714195555265178
farbton; 0.05684054891935375
handtücher; 0.05659155154353357
fügen; 0.05577347630622853
dauerschläfer; 0.0555073541299862
wangenform; 0.05480463427193172
hinweisepaketgröße; 0.05477084152880707
lehne; 0.054704314199625514
darunter; 0.05401230787538225
praktischen; 0.05374145621317439
entspannte; 0.05358837772291736
vollste; 0.053280775726307184
ziehen; 0.05190758745629864
offenen; 0.0515319642047416
zeitschriften; 0.05148060553983669
hinzu; 0.051339954770810436
greige; 0.05127262576093017
möbelstücke; 0.05109236490170588
halten; 0.05047214386740961
zusammenspiel; 0.0499671630669809
menge; 0.04979464776261011
wecker; 0.04972317227873191
plaids; 0.049627749731371296
single; 0.04959131743407852
erlaubt; 0.04949101928377786
platzangebot; 0.04943022061524971
jeglichen; 0.04934490021332749
noppenstruktur; 0.049240374893997796
wertvolle; 0.049111557096694014
schlichtes; 0.04904746375837021
auszeiten; 0.048753253620816395
gasdruckdämpfer; 0.048730113774581696
entsteht; 0.048494647834900206
alaska; 0.048208340030839736
wohnkonzept; 0.04807927261435907
füßenstilvoll; 0.04805511212180136
lagerung; 0.04766176043813175
unverwechselbares; 0.04752715040558542
