Wort; Durchschnittlicher Wert
pumpe; 0.09910613899046439
bestway; 0.09604701542411931
luftbett; 0.09041966332733864
grauen; 0.08833304211538007
grau; 0.0880747922565206
schwarze; 0.08773921832471387
stoffbezug; 0.08526697307024733
übernachtungsmöglichkeit; 0.08308397326618433
dekor; 0.07843931871684617
mitgelieferten; 0.07811045248126902
person; 0.07796572110964917
beflockte; 0.07731742238684092
echtholz; 0.07703278200960995
havanna; 0.07636038648706744
minuten; 0.07609148200208438
puristen; 0.07462257506540482
charme; 0.07436403308565787
kippfunktion; 0.07230307908321265
rückenlehne; 0.07212759012691095
hinsetzen; 0.07135919895699772
romantisches; 0.07115263925152249
tollem; 0.07106938943616115
zeitloser; 0.07106506653326505
rückenpölstern; 0.07101758192584384
möglichkeit; 0.07077371672329491
funktional; 0.07015670465261792
überaus; 0.06972897856030613
geneve; 0.06930887984526635
zusammen; 0.06923406090209028
dunkelgrauer; 0.06884084420380532
weiß; 0.06868289576595998
feines; 0.06818627285247203
hautfreundliche; 0.06770622342810384
solide; 0.06746666786148126
la; 0.06741998956294992
senfgelb; 0.06732469701091759
jeglichen; 0.06724660249892622
oberseite; 0.06695916470926022
formschaum; 0.06687519593833713
anstrengenden; 0.06683826584776398
reise; 0.0664926159879542
glänzendem; 0.06647195607547474
pulverbeschichtetem; 0.06617339525473653
lese; 0.06586814544061781
montageanleitungdrucken; 0.06579851374408463
schlafsofa; 0.06576352834963473
teilige; 0.0657340718244086
doppel; 0.06541891917368048
einlädt; 0.06507793612263413
style; 0.06442615159903653
