Wort; Durchschnittlicher Wert
Schlafsofa; 0.07370954483485548
Style; 0.04911839193664491
Annehmlichkeiten; 0.04756978030127357
austrecken; 0.04692535890353611
LAZY; 0.04520241872523911
CLIPSO; 0.0441769654462405
Eckschlafsofa; 0.04250678797325236
Wohnungen; 0.04090757278027013
LUKKA; 0.040776582492981106
Großes; 0.04056444275920512
Eyecatcher; 0.03931304895377252
Klappe; 0.03926449810387567
toll; 0.038785931997153966
aus95; 0.03711707944148657
Fliegen; 0.036867228143819375
Kuscheliges; 0.03564730295994423
70.000; 0.03561733305832604
Möbelstückes; 0.0353467712066049
schlagen; 0.03507634584821062
positionieren.Die; 0.03479316052107606
202; 0.03445408708830655
162; 0.03418206273624946
umklappen; 0.034119686133635696
markant; 0.03376550829852931
ausklappen; 0.03349047357914969
Einladung; 0.033146946465421934
Einrichtungsgegenstandes; 0.03284117630755645
TURINO; 0.0326239349305979
SIMON; 0.03241504476318369
Federkern-Innenlebens; 0.03205345144124294
entstehende; 0.031671617576648714
stimmiges; 0.03133899470731194
3DL; 0.03109893987493706
Wohnelement; 0.03105266668717377
Eiche.Setzen; 0.031028954792418517
KategorienWohntextilienVorhängeStehleuchtenWohnzimmertischeDrucken; 0.030972953682066873
Mischgewebe; 0.030930704091588268
Mühelos; 0.030776523100939812
sichtgeschützt; 0.030755929503357038
diwan-artige; 0.03074279060092522
angenehmes; 0.03062091924221022
NEO; 0.030619091565313283
schlank; 0.03060358127549989
intensiver; 0.03057184346835129
umfunktioniert; 0.030465682573776576
Scheuertouren; 0.030366686078195926
kombinierbaren; 0.030253916018409654
Trendsetter; 0.030073523441387806
ALASKA; 0.030025606596609578
Liege; 0.029595421910926234
