Wort; Durchschnittlicher Wert
hinweisbitte; 0.4093241806840524
schwarze; 0.32938742300029844
grauen; 0.31830721879669
überraschenden; 0.30624374488252215
schlafplatz; 0.29486564698891016
bonellfederkernmatratze; 0.28782638526172377
grau; 0.28729392305831425
luftbett; 0.2871857708087191
bestway; 0.28695039765443653
echtholz; 0.2772110405530839
eigent; 0.272742391389329
pumpe; 0.2725304693594808
weiß; 0.272034489284124
minuten; 0.2665244925774459
grauem; 0.26497304518852616
eignet; 0.2614135949697811
dekor; 0.25797969962877687
bettanlage; 0.2537757442332804
derselben; 0.25361917280679336
mustern; 0.2529969228198752
wohlige; 0.252681872312678
verbreitet; 0.25174335396150127
funktional; 0.2512814388519473
zusammen; 0.24976043560309336
einlasstiefe; 0.249092414342158
beflockte; 0.24782569883973338
empfehlen; 0.24761326114730764
geschickt; 0.2470340529034729
bigsofa; 0.243519603041932
erholung; 0.24284607856316143
schon; 0.24240824260778027
charme; 0.2424047633248847
praktisches; 0.2421288232144434
fernsehsessel; 0.23989589561824687
paneelen; 0.23657045219442807
feines; 0.23569876956753433
nimmt; 0.23384682800679002
vielseitig; 0.23158856670488603
led; 0.22993812727872864
ganz; 0.2295702360352152
geneve; 0.22930897976766573
schlafsofa; 0.2284746111054119
doppelbett; 0.22672293167124735
dezente; 0.22549835621612146
verschwinden; 0.2249917178414762
jugendzimmer; 0.22497326601296663
hautfreundliche; 0.2240511010750197
zweckmäßige; 0.22350581869250163
einzelbett; 0.22305157082155347
bettlade; 0.22257039587930194
