Wort; Durchschnittlicher Wert
c; 0.29527769693595474
boxspringbettes; 0.28465240051446017
maschine; 0.27519087523251073
hinweis; 0.2703456421731971
kopf; 0.26180284778274654
zweit; 0.26137046132134856
reißverschluss; 0.2562930325293564
fest; 0.24860112834358006
beträgt; 0.24347654934535967
robuste; 0.24193860138620948
wurde; 0.24005337770358892
matto; 0.23984114125778433
buchenholz; 0.23964781533868518
mid; 0.23863579757380649
kilogramm; 0.2347481830865945
rosa; 0.234370313504769
polyetherschaumkern; 0.23425754623895045
lackiertem; 0.22665737364513916
you; 0.2253014417074155
wand; 0.224373702374578
behagliche; 0.22237719616532559
schlafgefühl; 0.2206346881812351
xl; 0.2204206671085558
maine; 0.21857606252160622
großer; 0.21831722275965149
schutz; 0.2169108878042607
versehen; 0.21552026268909685
welt; 0.2152238577884873
falls; 0.21511863136583997
rollroste; 0.21345721053512534
dadurch; 0.2098821095059975
maximale; 0.20963853347711847
stütze; 0.20911290363892476
worauf; 0.20880422022310086
üppig; 0.20865557482648
farbtöne; 0.20800691102340352
braunem; 0.2079810842333245
nylon; 0.20750500934082083
stets; 0.20643123019544873
wertigkeit; 0.20556466078414815
liegefunktion; 0.20508488038103678
fußhöhe; 0.20454894090653397
gewaschen; 0.20344504969398258
hellbraun; 0.20177529061766108
vollenden; 0.2012181690770376
darauf; 0.200881794842644
neinlattenrost; 0.2005224280942457
eck; 0.1998827276256634
toller; 0.19799932906698814
stilvoll; 0.19780216400977224
