Wort; Durchschnittlicher Wert
boxspringsofa; 0.07462151102299686
schlichter; 0.06815151710179634
marlene; 0.06683612032793462
dezente; 0.06384297652402893
senfgelb; 0.06363872939255089
grauem; 0.06227469182340428
vielseitig; 0.060808168491348624
kiefer; 0.05718294269172475
annehmlichkeiten; 0.056834285613149405
geschickt; 0.05638571875169873
fulton; 0.054403448943048716
nichtgebrauch; 0.052995855832705274
geselligen; 0.05171904314192943
maren; 0.051410323940217495
gehüllt; 0.051212119549745694
fernsehsessel; 0.050845229998230934
gewachstem; 0.05078721060999669
betthaupt; 0.05035957647487521
fernsehabende; 0.050307755649555475
hit; 0.05021687343833037
charme; 0.049992540589300916
formschaum; 0.049509392672916874
montageanleitungdrucken; 0.04949616965313908
schieben; 0.049208543641725555
erstrahlt; 0.04910522507270798
übernachtungsmöglichkeit; 0.04873263614717871
empfehlen; 0.04835379798896611
dezenten; 0.0482891574210953
vorzügen; 0.04806467518210411
modernem; 0.04762235374073498
sprössling; 0.04746416180569213
weicher; 0.046749209373956546
unschlagbaren; 0.046504495840054005
coolen; 0.04619880297104828
armablagen; 0.04609476882615127
schlafbereich; 0.04586450263741426
zweckmäßige; 0.04573561133292969
platzsparend; 0.045589821675093845
verschwinden; 0.04555873741628602
nimmt; 0.045449853874742985
gesamtlänge; 0.045433827297529206
nachtkasterl; 0.045358604489592835
kombinierbare; 0.04518887065933086
dekor; 0.04507181406370364
versinken; 0.04495668251183815
erholung; 0.044479721298557706
falco; 0.04419357323786244
zusammenklappen; 0.04392924811691046
fühlt; 0.04375988582614809
betonoxid; 0.04369896583375521
