Wort; Durchschnittlicher Wert
lichtechtheit; 0.39595742151141167
klaren; 0.3883031007135287
vermitteln; 0.3858026026573498
obermaterial; 0.3832580087473616
eckigen; 0.3771406497107819
polyurethanschaumkerns; 0.3746053541544825
synthetik; 0.37206870783120394
ph; 0.36995831807143986
chromfarben; 0.36613920005765976
abriebfestigkeit; 0.3658163252475788
nero; 0.3652600093046203
abnehmbaren; 0.3589773843996227
geringen; 0.3542453688569367
mischung; 0.35352205228991807
pillingbildung; 0.349159206263721
doch; 0.3330359240062535
inklusive; 0.3318472264800221
geeignet; 0.3134178324835375
durchgehenden; 0.3007300703320652
angenehme; 0.2884560658130795
belastbar; 0.27844589564483613
gefällt; 0.25644763687159866
aufgrund; 0.22155445395037532
dunkelblau; 0.17986175081023248
schlafmöbels; 0.16036590072326362
braune; 0.16016667551593855
dunkelgraue; 0.15809228233410977
angenehmeres; 0.157042210950749
lustige; 0.1557661951519549
taschenfederkernmatraze; 0.15451728412881494
übrigens; 0.15235644413041882
stütze; 0.150014044411364
livetastic; 0.14709050039527938
äußeres; 0.14603128758608364
eck; 0.14476586051750928
mittelfester; 0.14292592840502039
abgerundeten; 0.14203118736622855
freut; 0.14044296901556663
mittelfesten; 0.13924064399907365
schicke; 0.13844794093165547
harmoniert; 0.13786199667083565
relaxfunktion; 0.13723043500885979
blaue; 0.13699466065736488
rollroste; 0.1360959125449881
belastet; 0.1355682614230318
mal; 0.13498042567516677
living; 0.1347324517009838
juist; 0.13441518892068416
leichten; 0.13380027643870562
sollten; 0.13378219644073397
