Wort; Durchschnittlicher Wert
krimi; 0.19215442289714701
einschlafgeschichte; 0.18383273828658275
traumbett; 0.1792520406015683
leichtgängigen; 0.17471264768391848
zusätzlicher; 0.1719038147421088
seitlichen; 0.16560463278437965
liebesroman; 0.165098445082549
beliebt; 0.1649992512539029
räumen; 0.16027815476991236
platzsparend; 0.15859709295909852
schlafzimmermöbel; 0.14292205913807265
wotan; 0.14197293150937185
großzügigem; 0.13893078215187415
geräumigen; 0.1383022670634091
ausziehbaren; 0.13547568581998348
lösung; 0.12874350996571593
rollen; 0.12636120116803795
bezüge; 0.12372923348448239
azurro; 0.12038584460970014
vielen; 0.11673092015553266
regalfächern; 0.11345973264542408
bettlade; 0.1114696202421328
ordentlich; 0.10510457953205332
gute; 0.10489926380978432
extra; 0.10298920929199085
dekor; 0.1016841922828462
co; 0.1010196187562542
darüber; 0.09256622806424275
oxid; 0.0870020857983036
funktional; 0.08594663679104997
formschaum; 0.08478066090901848
senfgelb; 0.084037074680964
coolen; 0.08402444641978946
hinaus; 0.08293526741908863
aufbauanleitunghinweisbitte; 0.08047163317678496
gleichermaßen; 0.08032476715015946
platziert; 0.07912341508927057
erstrahlt; 0.07891550929343794
nutzen; 0.07758849547826685
ausgewählt; 0.07662618925678544
hautfreundliche; 0.07588550633226987
vielseitig; 0.07561119169258745
solide; 0.07542749256026582
grauem; 0.07445586858375464
schlichten; 0.07393349127960391
titaniumbezug; 0.07268570454834844
geneve; 0.07217032525295508
justierbaren; 0.07167803145421203
mars; 0.0714743228018051
dezenten; 0.071463853608293
