Wort; Durchschnittlicher Wert
c; 0.0765799795044586
schlafgefühl; 0.0728655768034514
maschine; 0.07049938560885494
boxspringbettes; 0.06491455105424393
wäsche; 0.05988625689496985
reich; 0.058664848082116805
braun; 0.057635034565464593
zonen; 0.05642489758429292
komfortschaum; 0.055485096396296285
wollen; 0.055384472043442656
misst; 0.05533002562151523
falls; 0.0552801661938247
mara; 0.05507348742503382
zusagt; 0.05505893917870708
viscoschaumkern; 0.05479951325105503
gewaschen; 0.054273602057946846
basis; 0.05413096861775557
sein; 0.053862595377722755
verteilt; 0.053576414386043325
durchgehende; 0.05225302802864462
vermittelt; 0.0520284702652134
liegende; 0.05110214354499476
hellbraun; 0.05004147686850047
geöltem; 0.04902909306110814
tonnentaschenfederkernmatratze; 0.04898217131267302
liegeerlebnis; 0.048549208095209906
körper; 0.04837675088492688
wand; 0.04828017260524575
verzierten; 0.04801667113406438
überzeugenden; 0.04729462289833464
versehen; 0.04686835256870836
körpergewicht; 0.046849887279677205
kern; 0.04676570764968346
taschenfederkernmatraze; 0.046343432323283196
boxhöhe; 0.046029751050809864
stütze; 0.045919334324935335
visocschaum; 0.04581727785443945
griffmulden; 0.045473909776774235
kind; 0.04532172812741919
steppnähten; 0.04513622116064653
velours; 0.04490270193491597
schenken; 0.0444954984850483
besitzt; 0.044065980404411675
zweit; 0.04390857411272009
tonnentaschenfederkern; 0.043648122693412006
hölzernen; 0.04355174073134549
noblen; 0.04339969674765598
hervorragenden; 0.04302160086808726
selbst; 0.04293153056278243
wirbelsäule; 0.042914955398600796
