Wort; Durchschnittlicher Wert
webstoff; 0.3012553111911984
hinweisbitt; 0.2971831291215494
grau; 0.28776918197399937
t; 0.27027398390782764
fernsehsessel; 0.26866348448675126
eignet; 0.26276910910382867
schlafplatz; 0.26178615650132997
zweisitz; 0.2572298833692912
flexibl; 0.2506548058154294
platzspar; 0.24920654072775505
luftbett; 0.24839997956587467
interessant; 0.242736397041881
dezent; 0.23991508604376577
luca; 0.2387382237939164
kuschel; 0.23779243146418594
senfgelb; 0.2376076452783309
modern; 0.23404754834336927
erweit; 0.23278130512335338
weiss; 0.2317032156570349
kategorienwohntextilienvorhangestehleuchtenwohnzimmertischedruck; 0.23120788743835874
schlafsofa; 0.23011923454760108
ruckenlehn; 0.22605277376715094
schlafbereich; 0.2240989950078074
entsteht; 0.22365488225477748
vielseit; 0.22250791477563325
minut; 0.22243303053255659
einzelbett; 0.22190026995667722
pump; 0.22107357456116006
bestway; 0.21993439923971891
echtholz; 0.21924096372094937
freundlich; 0.21786194377637003
gastezimm; 0.21765654014598113
erstrahlt; 0.21416260953992605
bessoni; 0.2140179275011178
schlafzimmerdruck; 0.2122841891105054
situation; 0.21164760206011124
dunkelgrau; 0.210081867131521
somit; 0.20999865091289394
gewach; 0.2089976724528242
zubehor; 0.20892877590085845
formschaum; 0.20884924853453413
hautfreund; 0.20850365833030082
teilig; 0.20840709291223902
anthrazit; 0.2079062342090765
mar; 0.20667053981742356
dekor; 0.20578310978453374
herrlich; 0.2052863779827021
roll; 0.20484660167130642
trendig; 0.20478690511663444
inkludiert; 0.2042706214269856
