Wort; Durchschnittlicher Wert
eck; 0.027380202187487157
schlafgefuhl; 0.024669367689057253
steingrau; 0.024601324208560982
maschin; 0.024476438451529248
must; 0.02248827930634434
schliesslich; 0.02246871383067628
alltag; 0.021590060878224904
kontinentalmatratzedas; 0.021390638764387404
hochschlaf; 0.020509235069766873
abgeschloss; 0.01957383190983819
verarbeitet; 0.019401452281272213
kontinentalmatratz; 0.01913807843448012
zuruckzulehn; 0.01904079213454679
schlummernd; 0.019025012028805577
zusagt; 0.019009163826922304
schlammfarb; 0.01860894837136584
betont; 0.018585446028282604
wirkung; 0.01805852863981272
wohlgefuhl; 0.017936703347004368
remo; 0.017828548998295446
plankeneich; 0.017797408970288586
gemach; 0.017778081607502827
gefund; 0.017741107872097928
gesamtgross; 0.01745025580203219
freiheit; 0.01742139383486574
verlor; 0.0174032306049412
nardo; 0.017401100494680577
en; 0.017191603999890503
ronny; 0.017087110591091914
preisein; 0.017044484676262073
bodenseit; 0.017020557120758895
wer; 0.01700825419220564
ablageflach; 0.016924148261750815
fur; 0.01690802997109131
begegnungszon; 0.016880548515473492
abzuzieh; 0.016272752364784537
taschenfederkernmatratzegonn; 0.016150095712873735
akzentuiert; 0.016144642304652734
zusammensetz; 0.016077690739621175
erleicht; 0.016023914191464428
rastenverstell; 0.015785616549919723
fernbedien; 0.015768751945870463
nina; 0.015748528952826746
rot; 0.01574719458949403
antara; 0.015604363163220114
besteh; 0.015588745785862557
taschenfederkernmatraz; 0.015580552650362733
ultimativ; 0.015504157197938184
buchles; 0.015486116959436913
helllgrau; 0.01546868080731656
