Wort; Durchschnittlicher Wert
hinweis; 0.42095682556464453
reissverschluss; 0.39355220866855234
livetastic; 0.38560299307573587
maschin; 0.37552971905097365
bringt; 0.36196074122563004
verspricht; 0.36013257974991575
farb; 0.35456795724167023
polyetherschaumk; 0.3517874142853543
lackiert; 0.34894611226627603
buchenholz; 0.34741523396223783
stet; 0.3470978804398328
schlafgefuhl; 0.34214223065646365
wurd; 0.3412383717368357
c; 0.3370962534099817
juist; 0.33549293922260404
nierenkiss; 0.3340458289021626
basis; 0.3314624590566382
verbirgt; 0.331211477285251
kilogramm; 0.3311272208666196
leg; 0.33059881750523346
frisch; 0.3296701238723472
rosa; 0.32598318438977003
einrichtungselement; 0.3247770227972069
pueblo; 0.3241846548189642
farbton; 0.3236028274986893
mara; 0.3228522699791938
komfortschaum; 0.322715034824796
natur; 0.3226280545932241
federk; 0.3201824316056445
eck; 0.31743039793218486
matto; 0.3167848773591686
bonellfederkernmatraz; 0.3161844898131676
fest; 0.3155583000188926
auslad; 0.31525325812981464
nam; 0.311248961254023
gewicht; 0.30842017551185563
kopf; 0.30779752670787275
verlauf; 0.3070316280945917
xl; 0.3069755080068717
selbstverstand; 0.30236679344670847
gehalt; 0.30126461113104597
worauf; 0.3007655490655452
fusshoh; 0.29984163912013173
komforthoh; 0.2995570055791177
ubernachtungsgast; 0.2994961397780571
wohlverdient; 0.2975393627420999
polst; 0.29458902205806226
filmab; 0.2941194097384141
level; 0.2933527256536763
stimmung; 0.2928325438988395
