Wort; Durchschnittlicher Wert
hellbraun; 0.10548792203189805
hinweis; 0.0958461161935702
gewischt; 0.08936565980548039
hol; 0.08674314792369842
feucht; 0.08408811522531323
eckschlafsofa; 0.0832073719939217
worauf; 0.08304905341356061
polyetherschaumk; 0.08243987421155907
tuch; 0.07560445959097706
kinderspiel; 0.07350971481719171
stan; 0.07234493693977129
stylish; 0.07232699923042674
beig; 0.07101461774436757
maschin; 0.06998641419340856
frisch; 0.06993843695272517
fleck; 0.06824489758582786
knopfgriff; 0.06811208890576381
beachtlich; 0.06773651059120311
wohlfuhlzon; 0.066522401641123
wohnlandschaftdi; 0.06616111804032698
zweifellos; 0.06479504878974751
skat; 0.064790828328114
gesorgt; 0.06459160278973286
nierenkiss; 0.06443588528782129
lieblingsteil; 0.06423630010158377
genutzt; 0.0635197860392509
beer; 0.06270295372814871
zumal; 0.062459295644657686
trendsett; 0.06218986102612689
probl; 0.06201187334590941
nam; 0.061745973711367697
einmal; 0.0616997509241628
ehr; 0.061325448885327205
farbton; 0.061147201573476195
herauszieh; 0.059525666874833405
verspricht; 0.059411907859612256
variabel; 0.05935798853170127
vereint; 0.05922626075334847
zugehor; 0.05921976653917227
spiegelt; 0.05851442308630794
hochwert; 0.057283587026176974
lati; 0.05676854378543794
hochschlaf; 0.05635491420980543
gastebereich; 0.055852050601970404
zon; 0.055805343377869576
dahint; 0.05578429816523567
braun; 0.05569193058181554
liegegefuhl; 0.05512002753675915
pflegeleicht; 0.05510045603296021
velour; 0.05508227500831708
