Wort; Durchschnittlicher Wert
armstutz; 0.07146457443013787
erstrahlt; 0.06485649175010622
carisma; 0.06360652862349525
uberbiet; 0.058451728196814656
multifunktional; 0.057294927959446795
hinsetz; 0.05727094679605216
grau; 0.057223360490752384
senfgelb; 0.05684092436058563
unschlagbar; 0.05651933467015624
echtholz; 0.05611676367698237
abgibt; 0.05391767929540947
sternenhimmel; 0.05346602566714864
erlaubt; 0.05292649450711906
montageanleitungdruck; 0.0524599946802482
schlafunterlag; 0.05228439444908872
obendrein; 0.05191860266495496
meist; 0.05102335207629949
ruckenteil; 0.05054723785724491
positionier; 0.05030904777231626
szen; 0.049935498274862766
nichtstun; 0.049887535871675937
gebracht; 0.049801323271822184
alltagsgegenstand; 0.04912551444431301
handtuch; 0.04802104405825958
la; 0.047952123219147325
funktionell; 0.04760181267920416
versink; 0.04749431321397424
anthrazit; 0.04744626968749799
farbgeb; 0.04673444674699567
jakarta; 0.046191612258553505
neinstauraum; 0.04609209188492969
mercura; 0.045433339197188616
faszinier; 0.045381937379715964
lotar; 0.045305621562874876
familienmitglied; 0.045243466302054
wiki; 0.04514577251393348
wohlfuhlinsel; 0.045110145350918174
angebot; 0.044428160472307354
stimon; 0.04423308073091903
doppel; 0.04421123588690534
gelagert; 0.04384158880236555
wohlfuhlzentrum; 0.043824095191666856
wrid; 0.04378623195225373
nutzbar; 0.04336522637458984
lieblingsfoto; 0.04304975944251055
somit; 0.04244573320829659
farbig; 0.042407097920659
aufgefrischt; 0.04220421244826866
einlasstief; 0.04196237871656194
studentenwohn; 0.041844619205221534
