Wort; Durchschnittlicher Wert
viscoschaumk; 0.23289818171178922
boxhoh; 0.23077879176707938
gleichmass; 0.2297659682808444
schlafgefuhl; 0.22732949745841324
liegeerlebnis; 0.2226577455876395
verteilt; 0.21897914638975635
munt; 0.21544519884628244
gekomm; 0.21343284916656557
abendlektur; 0.2104974986286834
eindruck; 0.20228625647723675
springt; 0.20001587341539562
zusagt; 0.19692214799579233
erholt; 0.19512104842578992
versusst; 0.1942112208926119
fest; 0.19080323410162237
tacoma; 0.19072870747186244
vollend; 0.19019450061023235
schenk; 0.18778848717920482
luxus; 0.18680971098365262
vermittelt; 0.18055687454761937
mittelhart; 0.17936976744385902
velour; 0.17670649688807316
liegezon; 0.17616801051190123
kontinentalmatratz; 0.17595192937005777
fed; 0.1726500351796858
tipp; 0.17118092405144125
nie; 0.16942094538535457
verziert; 0.16412882768781856
wirbelsaul; 0.1617675540255732
hartegrad; 0.1604802357032895
domino; 0.16029320325469598
geht; 0.1598953906177485
bezeichn; 0.1596503561740974
morg; 0.15914610878098756
reissverschluss; 0.15911150811007246
tonnentaschenfederk; 0.15853576282097492
schlumm; 0.15326204868142668
pillingbild; 0.1511879594763741
gestutzt; 0.15073002793360502
gering; 0.15037858294090256
kingsiz; 0.14918158965883777
liegehoh; 0.1486993848811835
weist; 0.14316961547592655
gerad; 0.1384217253907991
unterkonstruktion; 0.1381593534606509
natur; 0.13755303529615048
farbton; 0.137106349109672
circa; 0.13609960970643442
wohlig; 0.1325076248467667
wohnlandschaftdi; 0.13176940131234005
