Wort; Durchschnittlicher Wert
sitzgelegenheit; 0.35539068636808224
boxspringsofa; 0.34086834714980796
hit; 0.32471332445857115
formschaum; 0.31997616850276245
annehmlichkeiten; 0.316406624733645
grauem; 0.31616119723184966
geräumigen; 0.31539906405305373
wohnungen; 0.31392029471317073
dezente; 0.3121788980133715
clipso; 0.3005404429859482
zubehör; 0.2999133907742362
unschlagbaren; 0.2961100250831805
fernsehsessel; 0.29454866533342283
schlichter; 0.29327603889396414
kombinierbare; 0.2925014700740576
beleuchtung; 0.28864311540019116
schlaffunktion; 0.2885555585671682
mustern; 0.2884036209725309
schlafbereich; 0.28806996596540557
stoffbezug; 0.2876486373716034
tollem; 0.2841355382661277
trendigem; 0.2840630580394645
senfgelb; 0.28175219539843965
fulton; 0.2813266355296946
weicher; 0.2806633954969584
led; 0.2789429100230336
entspannten; 0.27673572313869954
grauton; 0.27410824128673994
kippfunktion; 0.272046025536838
fernsehabende; 0.27158288722421275
erstrahlt; 0.2689268921385519
style; 0.2681310302050406
richtigen; 0.26726163776402245
sprössling; 0.2658387608535122
schieben; 0.26441699963470455
turino; 0.2612198481510859
gradlinigen; 0.26114255801803665
kiefer; 0.2610891420117696
zweckmäßige; 0.25979472041944973
mars; 0.2590336041794217
elegantem; 0.2583453486995495
inkludierte; 0.25814959395756887
lade; 0.2581144363430212
sitzflächen; 0.2573171368712792
wechseln; 0.25694455999200727
angenehmes; 0.2566097525159421
havanna; 0.25580545067350613
geschickt; 0.25372869395505404
trendige; 0.25359412335069464
bewahren; 0.2529183649785409
