Wort; Durchschnittlicher Wert
fest; 0.30973716974040144
braun; 0.30817701252090046
hellgrauen; 0.3055907522793859
hellbraun; 0.2946205213374924
maschine; 0.2883030499542656
reißverschluss; 0.27556955529144034
c; 0.2734543544029293
hinweis; 0.26564139930997044
gewaschen; 0.25012647805851884
falls; 0.246120233219699
bringt; 0.24560719534929376
möbels; 0.24321674587554298
matto; 0.2410274994322208
wäsche; 0.2389422305423068
ankommt; 0.23861936875618994
boxspringbettes; 0.23766449106915388
rollroste; 0.23581229456613073
toller; 0.23162688410957344
richtig; 0.23157011097646318
hochwertigem; 0.23109846825173008
worauf; 0.23050578456604853
liegende; 0.23035259515745565
wurde; 0.2292878975313215
lackiertem; 0.22923444078332977
xl; 0.22845313479774632
kopf; 0.22762566145684104
komforthöhe; 0.22624184147025517
you; 0.22608535273684538
livetastic; 0.2259053509765181
schlafgefühl; 0.22518280765143572
mid; 0.22482942020815244
verspricht; 0.22455190675100312
gut; 0.2226845920922642
robuste; 0.2220505025034072
maximale; 0.22144765638222452
zonen; 0.22046055831742706
beträgt; 0.21985639596709916
kilogramm; 0.21841279746149667
darauf; 0.21687047323121078
zweit; 0.21497688946328708
stütze; 0.21467400597248343
vergessen; 0.2137983307475224
wand; 0.2137466384047002
max; 0.21308969346864615
ausschließlich; 0.21167314299964346
versehen; 0.21142149514344055
nierenkissen; 0.2103589655162068
velours; 0.20936735784925986
rücken; 0.20911471927684033
bezogenen; 0.2079694309795741
