Wort; Durchschnittlicher Wert
braun; 0.392687373328954
hellbraun; 0.3105323837371543
reißverschluss; 0.3080752426176332
hinweis; 0.3053514230705332
rollroste; 0.29322847723960876
buchenholz; 0.29214479713118635
hellgrauen; 0.2920545118395239
kilogramm; 0.27909790602279827
boxspringbettes; 0.2774296633724589
bringt; 0.27625614681164734
robuste; 0.2728166035376489
maximale; 0.26820547436363995
schlafgefühl; 0.2670879836950917
richtig; 0.2662037308055005
hochwertigem; 0.26378678681794554
c; 0.2587247889023274
falls; 0.25848777184728533
lackiertem; 0.2583246181893628
verspricht; 0.25515981693024514
beträgt; 0.2544770395033993
zonen; 0.25299059875851526
zugabe; 0.252813323168084
mid; 0.2526444284885656
braune; 0.24992116267094389
wand; 0.24691033957060426
kopf; 0.24630844428611454
schönen; 0.24430280714295805
wurde; 0.24240037312847562
you; 0.24214190000202507
eck; 0.23927763677784242
viscoschaumkern; 0.23883175157243386
ergänzen; 0.23828341363696381
sitzhöhe; 0.23776546891895123
gewaschen; 0.23752175190020353
velours; 0.23668126204574946
rosa; 0.23630654832231812
komforthöhe; 0.23539805877953768
großer; 0.23466984518745448
matto; 0.23427816334879026
versehen; 0.23341461381642148
bringen; 0.23307144551654346
etwa; 0.2324115663068369
basis; 0.23170993699022802
belastbarkeit; 0.2310262260143645
tipp; 0.23056722793262452
toppers; 0.22833244048524648
fest; 0.22769593895645812
besitzt; 0.22691721763112582
stets; 0.22635107213864103
polyetherschaumkern; 0.22541416771127842
