Wort; Durchschnittlicher Wert
schwarze; 0.11972760106436908
platzsparend; 0.09949176054215059
dunkelgrau; 0.09899507206864655
hinweisbitte; 0.09791157115250826
grauen; 0.09562670416198671
verleihen; 0.09136065025813878
rückenlehne; 0.0888459300622344
bestway; 0.08828084281412885
interessante; 0.08640230033779517
luftbett; 0.08520455364487134
weiß; 0.08264739101286978
grau; 0.08238989440724254
pumpe; 0.08144547734991647
anthrazit; 0.08133506611920893
t; 0.08126541675301269
schon; 0.08090191031806171
polsterung; 0.08068548819574062
bettlade; 0.08035019092494622
gemacht; 0.07816403779725078
weitere; 0.07808342756834463
optik; 0.07752058544429019
entsteht; 0.07624135329388082
beflockte; 0.07568826503120363
simon; 0.07547309540677816
fernsehsessel; 0.07518364139832556
highlight; 0.07456486656883499
schlaffunktion; 0.07451194108580239
zeitloser; 0.07402939768508077
aruba; 0.07371878868434578
webstoff; 0.07214033440686762
marke; 0.07202639413299039
ganz; 0.07174755122105125
person; 0.07162564049940556
kategorienschlaftextiliennachtkästchenkleiderschränkekomplette; 0.07117976993322372
ausstatten; 0.07083646749379113
bequeme; 0.07050029782112688
bettkastendrucken; 0.07035880023613572
kinderleicht; 0.06945000367704779
praktisches; 0.0693757186527364
geschickt; 0.06885474495356902
eignet; 0.06882336549460888
schlafzimmerdrucken; 0.06872112260316499
hogan; 0.0687191312899813
passen; 0.06734000799770001
lederlook; 0.06721572930109687
gitterbett; 0.06631477133851149
titaniumbezug; 0.06630430941004306
coolen; 0.06600524706300348
tischen; 0.06600024472572841
klasse; 0.06589914576034062
