Wort; Durchschnittlicher Wert
wohnungen; 0.020936720018653432
edelstahl; 0.01939627582032699
till; 0.017978676260099746
parat; 0.016370133285818156
abhinweisbitte; 0.01622878239140846
sogar; 0.01593050645897165
falco; 0.0158340287161991
farbkonzepte; 0.01529710541581153
party; 0.015232144527544733
toll; 0.015169454756687628
auseinandergefaltet; 0.015114839567104355
bewegungen; 0.015105650221812539
ansprüchen; 0.01499617059744196
beflockter; 0.014955512440792518
acessoires; 0.014610391732276184
doppelt; 0.014177997436490841
tollem; 0.014154539676383138
verwenden; 0.014125503061222844
ravello; 0.01407363239559345
freundeskreise; 0.014011279286933132
bereits; 0.01392421107084374
verbreitet; 0.013915544608607888
darunter; 0.013888096713344567
romantischen; 0.013813631638186052
bettanlage; 0.013779133936623111
armablagen; 0.013771522586466745
formschaum; 0.013648976459080586
stabilen; 0.013467490251059644
eingearbeiteten; 0.01336461555911228
komfortable; 0.013353618436667603
bettwaren; 0.013300798367708921
polypropylen; 0.013253656674351078
senfgelb; 0.01324828586075455
quadratischen; 0.013224529372749316
kopfstütze; 0.013220610080679762
vertikalnähte; 0.013142784625415516
erlaubt; 0.013130164377798792
studentenwohnung; 0.013091108194203116
fulton; 0.013059349323157221
umfangreiche; 0.013015343174629379
kontrasten; 0.012965739995706826
besuchen; 0.01295563745952677
entdecken; 0.012886351666566043
polsterung; 0.012856262044806499
geometrische; 0.012849239141360158
eingebautem; 0.012814189190976322
angefertigt; 0.012765040752128698
unterwegs; 0.01274956091401691
luminosa; 0.012747557202601456
durchgehender; 0.012747035987558775
