Wort; Durchschnittlicher Wert
KategorienWohntextilienVorhängeStehleuchtenWohnzimmertischeDrucken; 0.4795342194593104
schwarze; 0.40575665246797143
Zweisitzer-Sofa; 0.3840957170868933
platzsparend; 0.37939155979984207
zieht; 0.37309509207625524
Luftbett; 0.36791126837488264
verleihen; 0.3632686028358876
Dekor; 0.3531965466863767
BESTWAY; 0.35039387918459397
somit; 0.3486590530956164
Praktisches; 0.3452216132700414
Runden; 0.34049388167659345
Stoffbezug; 0.33157803662265906
97; 0.3284825357095542
152; 0.3204824422546153
eignet; 0.3204767178876864
abHinweisBitte; 0.31947559241598356
vielseitig; 0.31824292096825957
verbreitet; 0.31465086325260927
192; 0.3076163104524312
Senfgelb; 0.3073115343891004
Boxspringsofa; 0.30665980418461913
geschickt; 0.30630226652283454
HinweisBitte; 0.30543298110114847
Gästezimmer; 0.30496093480905984
Lösung; 0.304752866140916
Schlafbereich; 0.3030613313385402
entsteht; 0.30052408447591006
93; 0.30045756984509353
zeitloser; 0.2933769200972165
208; 0.2902364186193154
Bettanlage; 0.28864308505580993
17; 0.28714585429042927
203; 0.28687932853063103
funktionelles; 0.28595045989004575
flexibles; 0.2856391192835872
massiver; 0.28484788354398916
Sitzfläche; 0.28468187302496517
beflockte; 0.284457999573533
55; 0.2839548731335526
Nichtgebrauch; 0.2835726531293403
Samt-Optik; 0.2832151342445286
Nachtkästchen; 0.28202520043123513
Fernsehabende; 0.28148783625510987
Zwei; 0.28097824603901245
Dreisitzer; 0.27943920674806577
Lassen; 0.2781183421946025
gewachstem; 0.27568015248834854
schlichter; 0.2746703418524703
Farbgebung; 0.274570115268034
