Wort; Durchschnittlicher Wert
Luftbett; 0.23556356580957072
BESTWAY; 0.22445649649307597
schwarze; 0.21829058596267714
grauen; 0.2173364860282163
somit; 0.21445642311300617
Webstoff; 0.2129804735250218
mitgelieferten; 0.19888091591280954
erstrahlt; 0.19582614506362006
Pumpe; 0.19436174910947557
beflockte; 0.19380588326021098
Senfgelb; 0.19202146882889792
T; 0.19113286124775186
große; 0.19111795623393846
Schlafengehen; 0.1893497223718441
Bonellfederkernmatratze; 0.18491272308165208
Minuten; 0.18446560186566785
schon; 0.1813833104679361
Dekor; 0.17442882590694353
Person; 0.1723643046207144
grauem; 0.17069224730221322
verbreitet; 0.17062934734713053
97; 0.17029436180746416
152; 0.16833254307857715
Zweisitzer; 0.16804554616828682
platzsparend; 0.16768569027590274
Dafür; 0.16681718124164036
Fernsehsessel; 0.16658995754551142
sind.Drucken; 0.1664365055039525
ihre; 0.16463269934115488
gehört; 0.1644303516986838
funktional; 0.16429065490046924
Schaumstoffkern; 0.16378178560262313
gleich; 0.1626070983787713
unschlagbaren; 0.1623583758046152
massiver; 0.16201953288327786
Rückenlehne; 0.16176177373563405
vielseitig; 0.16099826598656364
AIRBED; 0.15903053668444045
dezenten; 0.1588234737937455
Das; 0.15874400752363726
verleihen; 0.15852297857782105
Ergänzung; 0.15730553699540906
ganz; 0.15716741743381135
CAROLINA; 0.15713079012493836
eignet; 0.15628001606091857
zieht; 0.15623262338340282
integriertem; 0.1558820729405852
gewachstem; 0.15575206417270238
diesem; 0.1547069045191165
lässt; 0.15431113456452294
