Wort; Durchschnittlicher Wert
Braun; 0.4385182858677581
Hellbraun; 0.3738304298603907
sein; 0.35404638209729455
Hinweis; 0.3458562160958536
versehen; 0.3430331122945063
213; 0.3392552296281792
107; 0.33248361095320433
Bettkasten.HinweisStoff-; 0.33199120075732935
Zugabe; 0.32971240903862054
wobei; 0.3277515494992258
Maschine; 0.32665104557963787
Weich; 0.322779471433023
138; 0.3224846449447796
gewaschen; 0.32242376601789147
Wie; 0.3177952039404772
Wohnzimmer.HinweisStoff-; 0.3160078535438515
Innenleben; 0.3157457374036312
ist.Mit; 0.31493647693423554
Rollroste; 0.3127676798030734
Kopf-; 0.3121304343221709
Nierenkissen; 0.3037376611609943
Komfortschaum; 0.3034646926098503
-; 0.3025247975019738
73; 0.30012755055213347
64; 0.29988393117673695
MATTO; 0.297834468918154
Boxspringbettes; 0.29681923260795884
Zonen; 0.2958741340007691
197; 0.2948133523168508
Einrichtungsstil; 0.2905408095102757
Wäsche; 0.2893006097874604
Stimmung; 0.28908080016844906
Querschläfer; 0.28858008453971706
69; 0.2866867103148252
falls; 0.28616615813916724
Kg; 0.28200223855674267
entspanntes; 0.2809397675737273
hellgrauen; 0.2796701500774361
dunkelgraue; 0.27955762948840857
lackiertem; 0.2793862790131243
Fußbeine; 0.2782996211317368
braune; 0.27607633837033063
bodenlang; 0.276001701313362
Passend; 0.2754592848941684
zeitlosem; 0.27519908640533686
Ausführung; 0.2734737462369594
wurde; 0.2710858545615338
130; 0.2706788654613774
besitzt; 0.2699295830407209
Ob; 0.2696536733128596
