Wort; Durchschnittlicher Wert
UNK; 1.0948633216321468
eine; 1.0227735955268145
große; 1.003664342686534
x; 0.9796149674803019
cm; 0.9676154348999262
B; 0.9511118922382593
und; 0.9245431777089834
ist; 0.9136898331344128
Das; 0.9136505369096994
die; 0.9015697594732046
in; 0.8986330386251211
im; 0.8983823526650667
mit; 0.8866784684360027
Lieferumfang; 0.8830211795866489
Sie; 0.8745262250304222
Dekoration; 0.8668353464454412
von; 0.860007593408227
beachten; 0.8565291054546833
nicht; 0.8558425828814507
ca; 0.8477506134659052
abgebildete; 0.8455831855535507
dass; 0.8448211904615164
enthalten; 0.8430625610053539
H; 0.8331483453512192
HinweisBitte; 0.8316856119781733
L; 0.8198772370815277
Bett; 0.808966264128685
für; 0.8082184996455908
aus; 0.7959412131458521
der; 0.7835457045584917
Liegefläche; 0.7793881110846996
Luftbett; 0.7627390120178461
Die; 0.7599119488149881
sich; 0.75444046407938
BESTWAY; 0.7445267233997583
Weitere; 0.720404576510191
T; 0.7198415622115135
Grau; 0.7169987633824348
können; 0.7149989753961563
einfach; 0.7122398996725678
aber; 0.7085881773382425
bequem; 0.7058677207678556
Drucken; 0.7012494839727879
als; 0.6760792788118124
bis; 0.6700877519324422
Schlafsofa; 0.6669529601931572
zu; 0.6664506075903773
Rollrost; 0.6556407799944282
moderne; 0.6549134803935885
das; 0.6545470608398318
