Wort; Durchschnittlicher Wert
grau; 0.9500162948388606
hinweisbitt; 0.930145519785583
bettlad; 0.8496053367853165
geraum; 0.8278965502977371
schlafzimm; 0.821181976236403
einzelbett; 0.8146800813265145
luftbett; 0.7718905285000801
genev; 0.7681749262847006
gross; 0.766958627384156
beflockt; 0.765120372409001
bestway; 0.7511397115886211
funktionell; 0.7473830441012979
empfehl; 0.7441787733696401
funktional; 0.7391435848549008
weit; 0.7366743296734057
aktuell; 0.7356698652729392
oberflach; 0.7352003552950919
kategorienwohntextilienvorhangestehleuchtenwohnzimmertischedruck; 0.7344188499264419
interessant; 0.7256625262089074
einrichtungsstil; 0.7242912310175598
boxbett; 0.7219290267676115
nacht; 0.7212581306230277
bett; 0.7140601852443069
nachtkastch; 0.7085824266541749
mar; 0.7074143122881651
erholsam; 0.7066896891919896
breit; 0.705617219209671
schlafsofa; 0.6993970291223377
inkludiert; 0.6980011947453022
pump; 0.6949944505468011
b; 0.6864587585441768
ombra; 0.6830132068716921
kunststoff; 0.6697196327149868
elektr; 0.6651673591695726
leicht; 0.6623465684242547
bequem; 0.6603207379812375
topp; 0.6588315337430686
besteht; 0.6560261063277721
platzspar; 0.6551290797069669
ideal; 0.6550442222505808
halt; 0.6546202902682126
einlasstief; 0.6525309891439974
geradlin; 0.6474555477034301
sessel; 0.6463544610887766
led; 0.6459038951434195
uberrasch; 0.6424716264009476
eignet; 0.6400846909964457
entgeh; 0.6354707954451442
queen; 0.635442319791764
kategorienschlaftextiliennachtkastchenkleiderschrankekomplett; 0.6288321727188304
