Wort; Durchschnittlicher Wert
hinweisbitte; 0.8074702471494675
schlafzimmer; 0.7931635449640453
boxbett; 0.7798289833590388
große; 0.7703753049427178
drei; 0.7478893471416086
schwarz; 0.7136309565976262
atmosphäre; 0.702518917620182
grauen; 0.693595907650888
farbgebung; 0.6918906141072512
weitere; 0.6897000872995704
schlafzimmerdrucken; 0.6871310578426346
topper; 0.6829293547198176
besteht; 0.6811948679387569
kategorienschlaftextiliennachtkästchenkleiderschränkekomplette; 0.6745243817567825
traumbett; 0.6715023927390575
interessante; 0.671058785635978
l; 0.6587317944504321
b; 0.6586794171307702
bequeme; 0.6575686610303819
ii; 0.6561903953552246
krimi; 0.6552258022129536
beliebt; 0.6535470951348543
carolina; 0.652393875643611
leichtgängigen; 0.6486996160820127
grau; 0.6478693690150976
wotan; 0.6463561682030559
gönnen; 0.6441238503903151
bonellfederkernmatratze; 0.6429923074319959
hinsetzen; 0.6416790243238211
regalfächern; 0.6408642362803221
sodass; 0.6407657498493791
UNK; 0.6354821457352955
verbreitet; 0.6340665221214294
kissen; 0.6318020131438971
schaumstoffkern; 0.6312145497649908
räumen; 0.630260115955025
seitlichen; 0.6301854187622666
befindet; 0.6279451875016093
einschlafgeschichte; 0.6274714283645153
neues; 0.6264322865754366
liebesroman; 0.6257922518998384
kleinen; 0.6207663142122328
azurro; 0.6202613152563572
h; 0.6163784676464275
großzügigem; 0.6110067162662745
höhe; 0.6071522844140418
bett; 0.6042037256993353
synthetikmix; 0.6015793681144714
fußteil; 0.6011034017428756
x; 0.6004191307583824
