Wort; Durchschnittlicher Wert
abendlektüre; 0.09695973596535623
munter; 0.08400147617794573
spielzeug; 0.07965558487921953
welt; 0.07923612603917718
vorkommen; 0.07285330034392246
starke; 0.07182428182568401
einkuscheln; 0.07131909436429851
wandgestaltung; 0.0699910803232342
raumsparende; 0.06945129361702129
bspw; 0.0689591504924465
graues; 0.06801194544095779
wohnzimmerje; 0.0674046118510887
überzeugende; 0.06739213428227231
merci; 0.06698957161279395
himmel; 0.0664895769841678
variieren; 0.06587048469373258
audrey; 0.0658199530444108
abrundet; 0.06410471146227792
einladend; 0.0635828454978764
anthrazitfarbenes; 0.06324584683170542
abziehen; 0.06304144285968505
bietende; 0.06301303532382008
hautnah; 0.06131367840862367
gekommen; 0.06091664731502533
dunklem; 0.05907175439642742
lino; 0.05859177582897246
technik; 0.05780522243003361
variabel; 0.057739087380468845
laluna; 0.05769101025725831
himmelbett; 0.05691140623821411
zimmern; 0.05660073272883892
schlafvergnügen; 0.056530943751567975
ergonomische; 0.05644732975633815
maine; 0.056032903492450714
olifant; 0.055989743799727876
schalten; 0.05506926286034286
schlafambiente; 0.05430894368328154
unterteilung; 0.054296760812576395
raumgröße; 0.054089491721242666
hüllt; 0.05383676086785272
üppig; 0.053563195280730724
vermissen; 0.053536082259597606
stabilem; 0.05311807501129806
tacoma; 0.05309635656885803
bettschubkästen; 0.05279369425261393
organische; 0.052102622110396624
gasdruckfeder; 0.05197295123070944
verdeckt; 0.051952296671515796
lieblingsbuch; 0.05150548307574354
sitzplatz; 0.05150144285289571
