Wort; Durchschnittlicher Wert
BESTWAY; 0.6485765052493662
Luftbett; 0.6372124993358739
beflockte; 0.5876752870099153
97; 0.5587532172794454
mitgelieferten; 0.5459060923021752
17; 0.5388382556739089
Schnellverschlussventil; 0.5307024351204745
Pumpe; 0.5281226500228513
empfehlen; 0.5056668695895041
Minuten; 0.5039784834661987
ungewolltes; 0.5030108967039268
203; 0.4933930191473337
152; 0.4886461416608654
Boxbett; 0.46763472774182446
AIRBED; 0.45563228020910174
Einlasstiefe; 0.4545894149923697
56; 0.4498362308513606
QUEEN; 0.4467276750074234
OUTDOOR; 0.44128681701840833
11,5; 0.4384161664529529
h‰lt; 0.4356151120882714
73,4; 0.434141497600649
MARS; 0.4314656028764148
wohnliches; 0.42419955075820326
Senfgelb; 0.42009091303043533
Nehmen; 0.41975035876384936
elektrische; 0.4187659775780048
gesteppte; 0.4185720639725332
Innen-; 0.41850907771731727
unterwegs; 0.4171848494297592
ger‰umige; 0.41223105506651336
Kabel; 0.41098707531637046
funktional; 0.40904650382640284
flexibel; 0.4086818704963662
leicht; 0.4083567893540021
Zwei; 0.40750249446136877
groﬂe; 0.405770096793276
G‰stebett; 0.4040644375309057
Staufach; 0.40334660609369166
aufstehen; 0.40246996327186935
grauen; 0.4004823430295801
Herzen; 0.39975906591280364
Style-Puristen; 0.3989386968460167
84; 0.39583737730572466
CAROLINA; 0.39576636359561235
gl‰nzendem; 0.39438160013969537
entgehen; 0.39433229391579516
moderne; 0.39385777575080283
118; 0.39342238104472926
Betreten; 0.3911925823194906
