Wort; Durchschnittlicher Wert
modernen; 0.1332409498281777
KategorienWohntextilienVorhängeStehleuchtenWohnzimmertischeDrucken; 0.1310606172773987
Denn; 0.13052105263341218
schönes; 0.12892787856981158
210; 0.12862876208964735
vielseitig; 0.12356517813168466
Kissen; 0.12118553114123642
100; 0.12086123740300536
Lösung; 0.12045495619531721
Freuen; 0.11815708363428712
Stauraumwunder; 0.11638287699315697
gleich; 0.11593773553613573
97; 0.11425484414212406
praktisches; 0.11378415673971176
Nacht; 0.11289799679070711
Serie; 0.11281905835494399
&; 0.11241531069390476
Seite; 0.112397346412763
OMBRA; 0.11088861338794231
entsteht.Ein; 0.11000557726947591
schaffen; 0.10985138232354075
Zweisitzer; 0.108594317920506
81; 0.10825756040867418
Lattenrost; 0.10685883741825819
Weiß; 0.10645105480216444
Kiefer; 0.10619798843981698
Blick; 0.10582818055991083
schafft; 0.10575927724130452
umklappen; 0.1052986232098192
Fernsehsessel; 0.10439191362820566
zugleich; 0.10428017319645733
Eiche; 0.10416018893010914
Ausruhen; 0.10407722601667047
Decken; 0.1039078498724848
großen; 0.10377206781413406
Matratzen; 0.10357590042985976
84; 0.1031490225577727
208; 0.10298916161991656
%; 0.10292219195980579
lassen; 0.10223217064049095
beispielsweise; 0.10221795353572816
Sitzkomfort; 0.10213169164489955
216; 0.10177995217964053
verschiedenen; 0.10091851814649999
Akzent; 0.10072088765446097
so; 0.10041752643883228
Wohlfühlen; 0.1001702273497358
rundum; 0.09998802689369768
gepolstertes; 0.09980496036587283
Schlafplatz; 0.0994586888118647
