Wort; Durchschnittlicher Wert
große; 0.997391514480114
eine; 0.9511199910193682
x; 0.8670075163245201
cm; 0.8642767202109098
UNK; 0.8603254556655884
und; 0.851084278896451
in; 0.8421263489872217
das; 0.8405344728380442
mit; 0.8253947459161282
hinweisbitte; 0.8228642847388983
ist; 0.8222372774034739
b; 0.8209804892539978
die; 0.8175823427736759
sie; 0.8060356955975294
im; 0.800621509552002
abgebildete; 0.7984958719462156
von; 0.7968229334801435
ca; 0.7950162757188082
beachten; 0.7915681079030037
dekoration; 0.7880247700959444
nicht; 0.7788749001920223
lieferumfang; 0.7776863239705563
dass; 0.7761115785688162
enthalten; 0.7704262919723988
bett; 0.7692336551845074
der; 0.7681557144969702
liegefläche; 0.7566238138824701
für; 0.7529982421547174
weitere; 0.7323293881490827
l; 0.7313131093978882
weiß; 0.7072419784963131
sich; 0.7031091470271349
interessante; 0.7016024570912123
einfach; 0.6925630746409297
h; 0.6918825823813677
t; 0.6727629825472832
aus; 0.6593980183824897
aber; 0.6542197372764349
grau; 0.6535053215920925
können; 0.6525077316910028
ombra; 0.6520670522004366
schlafzimmer; 0.6502636224031448
grauen; 0.6451474344357848
schlafsofa; 0.6373300766572356
bis; 0.6329587223008275
beflockte; 0.6328156897798181
höhe; 0.6322599537670612
bequem; 0.6214269818738103
einer; 0.618292048573494
bestellbar; 0.6098096435889602
