Wort; Durchschnittlicher Wert
kelly; 0.10688318777829409
regi; 0.10335305610351497
akazienholz; 0.09779302007518709
liegefunktion; 0.096334099303931
variabel; 0.09496789411059581
unterteilung; 0.09464400087017566
rautensteppung; 0.08693957865398261
visocschaum; 0.08274576946860179
zierliche; 0.07911930623231456
vintage; 0.07671726746775676
mitmaßen; 0.07656702678650618
xl; 0.07604825691669248
verdeckt; 0.07569422584492713
wohngefühl; 0.07467049556726124
platzbedarfgenießen; 0.07417222502408549
lenkt; 0.07314657093957067
streichelweicher; 0.07261162239592522
schlanken; 0.07227684347890317
lasse; 0.07173881854396313
gesondert; 0.07110369252040982
waldgrünem; 0.07088157367252279
moro; 0.06907305627828464
mittelfester; 0.06883899128297344
eindrucksvolles; 0.06882023647631286
luxuriöser; 0.06827789172530174
geschenk; 0.06817493471316993
textiloberfläche; 0.06772466210532002
ria; 0.0676629058434628
beerefarbene; 0.06711693637771532
englischen; 0.06687124056770699
austrecken; 0.06646310817450285
lackierten; 0.06636921326753509
hölzernen; 0.06570950476452708
bezogenem; 0.06520157179329544
heißt; 0.06500167230842635
unvergleichlich; 0.06494818709325045
maine; 0.062201390479458496
spürbares; 0.06176173995481804
überzeugende; 0.06144663933082484
musshinweisdieser; 0.060866953448567074
britischer; 0.06044215295696631
taschenfederkernmatraze; 0.060377100230198266
schwarzes; 0.05998034751974046
landhausstils; 0.05962166585959494
einemmodernes; 0.05956771248020232
nackenstütze; 0.05929158418439329
überzeugenden; 0.059062391985207796
pink; 0.05845010353368707
anthrazitfarbenes; 0.058373572188429534
verdeckten; 0.05788913417200092
