Wort; Durchschnittlicher Wert
viscoschaumkern; 0.2830289430276025
vermittelt; 0.27610200736671686
c; 0.2699275412596762
boxhöhe; 0.254743404337205
lackierung; 0.24815551261417568
paketspezifische; 0.2409471672726795
liefertermins; 0.24063866160577163
wohlig; 0.23946449847426265
spediteur; 0.23402172792702913
maschine; 0.2339563066198025
zonen; 0.23147796117700636
tacoma; 0.23030526915681548
munter; 0.2297176729189232
nie; 0.22704506118316203
vereinbarung; 0.22402260414673947
kontaktieren; 0.22365806487141526
zustellung; 0.22234229173045605
verteilt; 0.2220530520135071
anderes; 0.2215829785563983
gekommen; 0.22076322010252625
verzierten; 0.21957744791870937
linien; 0.21887248911662027
schenken; 0.21855771806440316
tasse; 0.2182175525886123
zimmern; 0.21732047060504556
körper; 0.21428493037819862
bordsteinkante; 0.21094389646168565
chesterfield; 0.21023717906791717
abendlektüre; 0.20465526974294335
mara; 0.2032648982712999
wohnkultur; 0.20137735619209707
puristischen; 0.20025124053063337
boxspringbettes; 0.19897333064000122
thomas; 0.19873577683392796
kgpaketgewicht; 0.19802994636120275
zusagt; 0.19623952434631065
sattem; 0.19603673127130605
montagelieferhinweislieferung; 0.19585511315381154
erfolgt; 0.19581858003948582
adeliges; 0.1945835065562278
gleichmäßig; 0.1938047950679902
edelstahlfüße; 0.19319840712705627
zeiten; 0.1931467556860298
diejenige; 0.19243315374478698
schmuckstück; 0.1913228251523833
bezüglich; 0.19079462822992355
holzdekor; 0.1905096600530669
reich; 0.18946021812735125
springt; 0.18703776004258543
eichefarben; 0.18625886994414032
