Wort; Durchschnittlicher Wert
große; 0.8670178828760982
eine; 0.853645721450448
HinweisBitte; 0.7962031234055758
UNK; 0.7199975801631808
Zwei; 0.7089690156280994
Modernes; 0.7061915649101138
empfehlen; 0.7043037544935942
beflockte; 0.7027546521276236
funktional; 0.6959181940183043
und; 0.6882199598476291
Bett; 0.6871632421389222
geräumige; 0.6843234207481146
Rollrost; 0.6842862199991941
ist; 0.6835464369505644
x; 0.6778620965778828
cm; 0.674758501816541
B; 0.6716356473043561
bis; 0.6666707396507263
Sie; 0.6654729675501585
Luftbett; 0.6645299717783928
ca; 0.6637209104374051
Das; 0.662527616135776
Liegefläche; 0.6586980223655701
für; 0.6526736291125417
Fernsehsessel; 0.6516672410070896
Höhe; 0.6510031688958406
Sitzgelegenheit; 0.6495824158191681
in; 0.647128579672426
praktischen; 0.6464450573548675
mit; 0.646384930703789
schönes; 0.6446283953264356
wohnliches; 0.6424496807157993
Farbgebung; 0.6394989499822259
im; 0.6359481802210212
Dieses; 0.6349488720297813
Beleuchtung; 0.634228422306478
Einlasstiefe; 0.6321483552455902
die; 0.631075534503907
Weiß; 0.629652670584619
beachten; 0.629576051607728
grauen; 0.6247083675116301
besteht; 0.6238772002980113
BESTWAY; 0.6237851791083813
grauem; 0.6236181473359466
MARS; 0.622651070356369
dass; 0.6151123307645321
von; 0.6149320565164089
aktuelle; 0.6147170877084136
Lieferumfang; 0.6140592293813825
hat; 0.6132456203922629
