Wort; Durchschnittlicher Wert
lackiertem; 0.2140609963098541
unprätentiöses; 0.20739319396670908
MERCI; 0.1944181672297418
Schlafambiente; 0.1867963236873038
neutral; 0.17050973477307707
Schlicht; 0.1659267611685209
Effekt; 0.164346017758362
Großer; 0.15791957342298701
LINO; 0.15277925378177315
Einrichtungsstückes; 0.15241300454363227
weniger; 0.15120274177752435
BERT; 0.1476724868407473
royales; 0.14270665240474045
Himmel; 0.1425304391887039
REGI; 0.12963627360295504
Liegefunktion; 0.1292733419686556
ursprünglichen; 0.1251089871802833
variabel; 0.12463573975401232
Kinderbett; 0.1200258971657604
Spielzeug; 0.1199852239806205
verarbeitete; 0.11735913751181215
Märchen; 0.11728080315515399
üppig; 0.11718175699934363
Schlichte; 0.11649095045868307
Kanten; 0.11485087953042239
frischem; 0.11284439779410604
Rosa; 0.11080620653228834
Durchdachtes; 0.10881075856741518
natürlicher; 0.10424576039076783
Sternen; 0.10296039231980103
ROBBY; 0.10084538318915293
Einrichtungselements; 0.09972592804069791
strahlendem; 0.09970424440689385
frische; 0.09680923911946593
ausschließlich; 0.09676631175534567
NADJA; 0.09654110006522387
klappen; 0.09648321968325035
Buchefarben; 0.09480686284950934
mittelfesten; 0.0933529575704597
Wertigkeit; 0.09209501883015037
MARIANNE; 0.09139335167128593
Aufstehen; 0.0911018176630023
zertifiziert; 0.08991986316641487
Tüll; 0.08894933529518312
trefflich; 0.08832848933525383
Himmelbett; 0.08795027344604023
höhenverstellbar; 0.0878537492826581
süße; 0.08641024568350986
LALUNA; 0.08378680995383547
VILMAR; 0.08351559052243829
