Wort; Durchschnittlicher Wert
weiss; 0.9422517772763968
liegeflach; 0.9231925643980503
grau; 0.9193029701709747
webstoff; 0.9076096601784229
enthalt; 0.8989419089630246
hinweisbitt; 0.8803101591765881
x; 0.86993885692209
dekoration; 0.8694911822676659
ombra; 0.8665788434445858
beacht; 0.8661095984280109
cm; 0.8636238779872656
gross; 0.8591732606291771
lieferumfang; 0.8582019945606589
ca; 0.8533998746424913
abgebildet; 0.8476098803803325
mitgeliefert; 0.8416098672896624
bett; 0.8317378722131252
beflockt; 0.8235628604888916
b; 0.8112577004358172
sowi; 0.8080697162076831
geraum; 0.8074089996516705
jugendzimm; 0.8059714064002037
einfach; 0.8038054071366787
bettlad; 0.8015666957944632
sitzgeleg; 0.7917520012706518
hautfreund; 0.7697134912014008
druck; 0.7675167163833976
h; 0.7466313811019063
schaff; 0.7465472649782896
einzelbett; 0.7416962217539549
rollrost; 0.7405004687607288
bequ; 0.7404872234910727
mark; 0.7302300408482552
l; 0.7284342451021075
praktisch; 0.727981380186975
luftbett; 0.7269011847674847
dekor; 0.7202490027993917
oberflach; 0.7193554053083062
kategorienwohntextilienvorhangestehleuchtenwohnzimmertischedruck; 0.7108323071151972
bestway; 0.7071876563131809
nachtkastch; 0.7048811772838235
empfehl; 0.7032205257564783
funktional; 0.7017894433811307
breit; 0.6997539736330509
bestellbar; 0.6967911450192332
eignet; 0.6922878967598081
hoh; 0.685327809303999
genev; 0.6791530791670084
bietet; 0.6746939104050398
interessant; 0.6745760105550289
